code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
1,,,,1,REPARACION SUPER HEATER CALDERA # 08:,,,,,,,,
1.1.51,,,1,2,Soldadura de bafles internos en el colector (GD),,,,3.0,10.0,8,Unidades,
501,,,1.1.51,4,PLANIFICADOR,,,1.0,0.8,,,Horas,3.76
502,,,1.1.51,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.8,,,Horas,3.76
533,,,1.1.51,4,CAPATAZ,,,1.0,0.8,,,Horas,3.49
69,,,1.1.51,4,SOLDADOR DE 1RA,,,1.0,0.8,,,Horas,2.8
2,,,1.1.51,4,AYUDANTE,,,1.0,0.8,,,Horas,2.47
1163,,,1.1.51,5,CARETA FACIAL,,,1.0,0.8,,,Horas,0.13
895,,,1.1.51,5,CABLE TIERRA ESPECIAL 25 MTS,,,1.0,0.8,,,Horas,0.72
1138,,,1.1.51,5,EXTENSION 440 VOLTS ,,,1.0,0.8,,,Horas,0.5
202,,,1.1.51,5,CARETA PARA SOLDAR CON VISERA,,,1.0,0.8,,,Horas,0.06
1049,,,1.1.51,5,CABLE PINZA 25 MTRS,,,1.0,0.8,,,Horas,0.72
1202,,,1.1.51,5,"ESMERIL 4""",,,1.0,0.8,,,Horas,0.34
295,,,1.1.51,5,SOLDADORA 225 AMP 110/220V,,,1.0,0.8,,,Horas,3.13
1007,,,1.1.51,5,EXTENSION ELECTRICA 100 MTS,,,1.0,0.8,,,Horas,0.16
1.1.52,,,1,2,Preparación de superficie del colector para soldadura (GD),,,,6.0,14.0,8,Unidades,
501,,,1.1.52,4,PLANIFICADOR,,,1.0,0.5714,,,Horas,3.76
502,,,1.1.52,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.5714,,,Horas,3.76
533,,,1.1.52,4,CAPATAZ,,,1.0,0.5714,,,Horas,3.49
141,,,1.1.52,4,FABRICADOR 1RA,,,1.0,0.5714,,,Horas,2.87
2,,,1.1.52,4,AYUDANTE,,,1.0,0.5714,,,Horas,2.47
293,,,1.1.52,5,"ESMERIL DE 7""",,,1.0,0.5714,,,Horas,0.51
1007,,,1.1.52,5,EXTENSION ELECTRICA 100 MTS,,,1.0,0.5714,,,Horas,0.16
1163,,,1.1.52,5,CARETA FACIAL,,,1.0,0.5714,,,Horas,0.13
1.1.53,,,1,2,Soldadura de colector (GD),,,,6.0,4.0,8,Unidades,
501,,,1.1.53,4,PLANIFICADOR,,,1.0,2.0,,,Horas,3.76
502,,,1.1.53,4,SUPERVISOR DE SEGURIDAD,,,1.0,2.0,,,Horas,3.76
533,,,1.1.53,4,CAPATAZ,,,1.0,2.0,,,Horas,3.49
69,,,1.1.53,4,SOLDADOR DE 1RA,,,1.0,2.0,,,Horas,2.8
2,,,1.1.53,4,AYUDANTE,,,1.0,2.0,,,Horas,2.47
1163,,,1.1.53,5,CARETA FACIAL,,,1.0,2.0,,,Horas,0.13
895,,,1.1.53,5,CABLE TIERRA ESPECIAL 25 MTS,,,1.0,2.0,,,Horas,0.72
1138,,,1.1.53,5,EXTENSION 440 VOLTS ,,,1.0,2.0,,,Horas,0.5
202,,,1.1.53,5,CARETA PARA SOLDAR CON VISERA,,,1.0,2.0,,,Horas,0.06
1049,,,1.1.53,5,CABLE PINZA 25 MTRS,,,1.0,2.0,,,Horas,0.72
1202,,,1.1.53,5,"ESMERIL 4""",,,1.0,2.0,,,Horas,0.34
295,,,1.1.53,5,SOLDADORA 225 AMP 110/220V,,,1.0,2.0,,,Horas,3.13
1007,,,1.1.53,5,EXTENSION ELECTRICA 100 MTS,,,1.0,2.0,,,Horas,0.16
1.1.54,,,1,2,Desmontaje de codo de salida del super heater (GD),,,,1.0,4.0,8,Unidades,
501,,,1.1.54,4,PLANIFICADOR,,,1.0,2.0,,,Horas,3.76
502,,,1.1.54,4,SUPERVISOR DE SEGURIDAD,,,1.0,2.0,,,Horas,3.76
533,,,1.1.54,4,CAPATAZ,,,1.0,2.0,,,Horas,3.49
141,,,1.1.54,4,FABRICADOR 1RA,,,1.0,2.0,,,Horas,2.87
2,,,1.1.54,4,AYUDANTE,,,1.0,2.0,,,Horas,2.47
432,,,1.1.54,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,2.0,,,Horas,1.0
666,,,1.1.54,5,CARRUCHA DE 2 RUEDAS,,,1.0,2.0,,,Horas,0.25
1086,,,1.1.54,5,MECATE,,,1.0,2.0,,,Horas,0.02
443,,,1.1.54,5,SEÑORITA DE CADENA 1.5 TON,,,1.0,2.0,,,Horas,0.23
1014,,,1.1.54,5,ESLINGAS DE CARGA,,,1.0,2.0,,,Horas,0.25
1.1.55,,,1,2,Demolición de refractario (GD),,,,3.0,1.0,8,m³,
501,,,1.1.55,4,PLANIFICADOR,,,1.0,8.0,,,Horas,3.76
502,,,1.1.55,4,SUPERVISOR DE SEGURIDAD,,,1.0,8.0,,,Horas,3.76
533,,,1.1.55,4,CAPATAZ,,,1.0,8.0,,,Horas,3.49
125,,,1.1.55,4,ALBAÑIL REFRACTARIO,,,1.0,8.0,,,Horas,2.87
2,,,1.1.55,4,AYUDANTE,,,1.0,8.0,,,Horas,2.47
247,,,1.1.55,5,PIQUETA BELLOTA 5932-A,,,1.0,8.0,,,Horas,0.1
1416,,,1.1.55,5,MANDARRIA 2 KG,,,1.0,8.0,,,Horas,0.11
74,,,1.1.55,5,CARRETILLA RUEDA DE GOMA CAP= 55 Lts,,,1.0,8.0,,,Horas,0.16
333,,,1.1.55,5,PALA RECTANGULAR,,,1.0,8.0,,,Horas,0.12
304,,,1.1.55,5,TOBO PLASTICO CAP= 10 Lts PARA ALBAÑIL,,,1.0,8.0,,,Horas,0.02
170,,,1.1.55,5,CINCEL PUNTA PLANA 1'' X 10'',,,1.0,8.0,,,Horas,0.02
1.1.56,,,1,2,Desmontaje y limpieza de separadores de elementos (GD),,,,2.0,4.0,8,Unidades,
501,,,1.1.56,4,PLANIFICADOR,,,1.0,2.0,,,Horas,3.76
502,,,1.1.56,4,SUPERVISOR DE SEGURIDAD,,,1.0,2.0,,,Horas,3.76
533,,,1.1.56,4,CAPATAZ,,,1.0,2.0,,,Horas,3.49
141,,,1.1.56,4,FABRICADOR 1RA,,,1.0,2.0,,,Horas,2.87
2,,,1.1.56,4,AYUDANTE,,,1.0,2.0,,,Horas,2.47
