code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
1,,,,1,REPARACION SUPER HEATER CALDERA # 08:,,,,,,,,
1.1.2,,,1,2,Desmontaje de lana mineral (MLGF) ,,,,12.0,30.0,8,m² ,
501,,,1.1.2,4,PLANIFICADOR,,,1.0,0.2667,,,Horas,3.76
502,,,1.1.2,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.2667,,,Horas,3.76
533,,,1.1.2,4,CAPATAZ,,,1.0,0.2667,,,Horas,3.49
721,,,1.1.2,4,AISLADOR,,,1.0,0.2667,,,Horas,2.87
2,,,1.1.2,4,AYUDANTE,,,1.0,0.2667,,,Horas,2.47
288,,,1.1.2,5,CARRETILLA PARA CONSTRUCCION,,,1.0,0.2667,,,Horas,0.16
1400,,,1.1.2,5,HERRAMIENTAS MENORES ,,,1.0,0.2667,,,Horas,0.26
1.1.3,,,1,2,Desmontaje de forro metálico superior e inferior (MLGF) ,,,,24.0,14.0,8,m² ,
501,,,1.1.3,4,PLANIFICADOR,,,1.0,0.5714,,,Horas,3.76
502,,,1.1.3,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.5714,,,Horas,3.76
533,,,1.1.3,4,CAPATAZ,,,1.0,0.5714,,,Horas,3.49
141,,,1.1.3,4,FABRICADOR 1RA,,,1.0,0.5714,,,Horas,2.87
2,,,1.1.3,4,AYUDANTE,,,1.0,0.5714,,,Horas,2.47
1086,,,1.1.3,5,MECATE,,,1.0,0.5714,,,Horas,0.02
443,,,1.1.3,5,SEÑORITA DE CADENA 1.5 TON,,,1.0,0.5714,,,Horas,0.23
432,,,1.1.3,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,0.5714,,,Horas,1.0
666,,,1.1.3,5,CARRUCHA DE 2 RUEDAS,,,1.0,0.5714,,,Horas,0.33
1163,,,1.1.3,5,CARETA FACIAL,,,1.0,0.5714,,,Horas,0.13
1021,,,1.1.3,5,PATECLA ,,,1.0,0.5714,,,Horas,0.09
1087,,,1.1.3,5,GUAYA PARA IZAJE,,,1.0,0.5714,,,Horas,0.31
1043,,,1.1.3,5,GRILLETE ,,,1.0,0.5714,,,Horas,0.03
1.1.4,,,1,2,Desmontaje de sello del domo superior e inferior (MLGF) ,,,,8.0,15.0,8,m² ,
501,,,1.1.4,4,PLANIFICADOR,,,1.0,0.5333,,,Horas,3.76
502,,,1.1.4,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.5333,,,Horas,3.76
533,,,1.1.4,4,CAPATAZ,,,1.0,0.5333,,,Horas,3.49
2,,,1.1.4,4,AYUDANTE,,,1.0,0.5333,,,Horas,2.47
141,,,1.1.4,4,FABRICADOR 1RA,,,1.0,0.5333,,,Horas,2.87
432,,,1.1.4,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,0.5333,,,Horas,1.0
666,,,1.1.4,5,CARRUCHA DE 2 RUEDAS,,,1.0,0.5333,,,Horas,0.25
1416,,,1.1.4,5,MANDARRIA 2 KG,,,1.0,0.5333,,,Horas,0.11
1.1.5,,,1,2,Desmontaje de tubo de alimentación de agua (MLGF) ,,,,1.0,4.0,8,Unidades,
501,,,1.1.5,4,PLANIFICADOR,,,1.0,2.0,,,Horas,3.76
502,,,1.1.5,4,SUPERVISOR DE SEGURIDAD,,,1.0,2.0,,,Horas,3.76
533,,,1.1.5,4,CAPATAZ,,,1.0,2.0,,,Horas,3.49
2,,,1.1.5,4,AYUDANTE,,,1.0,2.0,,,Horas,2.47
141,,,1.1.5,4,FABRICADOR 1RA,,,1.0,2.0,,,Horas,2.87
432,,,1.1.5,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,2.0,,,Horas,1.0
666,,,1.1.5,5,CARRUCHA DE 2 RUEDAS,,,1.0,2.0,,,Horas,0.25
1086,,,1.1.5,5,MECATE,,,1.0,2.0,,,Horas,0.02
443,,,1.1.5,5,SEÑORITA DE CADENA 1.5 TON,,,1.0,2.0,,,Horas,0.23
1014,,,1.1.5,5,ESLINGAS DE CARGA,,,1.0,2.0,,,Horas,0.25
1.1.6,,,1,2,Desmontaje de soporte de tubo de venteo (MLGF) ,,,,1.0,6.0,8,Unidades,
501,,,1.1.6,4,PLANIFICADOR,,,1.0,1.3333,,,Horas,3.76
502,,,1.1.6,4,SUPERVISOR DE SEGURIDAD,,,1.0,1.3333,,,Horas,3.76
533,,,1.1.6,4,CAPATAZ,,,1.0,1.3333,,,Horas,3.49
2,,,1.1.6,4,AYUDANTE,,,1.0,1.3333,,,Horas,2.47
141,,,1.1.6,4,FABRICADOR 1RA,,,1.0,1.3333,,,Horas,2.87
432,,,1.1.6,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,1.3333,,,Horas,1.0
666,,,1.1.6,5,CARRUCHA DE 2 RUEDAS,,,1.0,1.3333,,,Horas,0.25
1086,,,1.1.6,5,MECATE,,,1.0,1.3333,,,Horas,0.02
443,,,1.1.6,5,SEÑORITA DE CADENA 1.5 TON,,,1.0,1.3333,,,Horas,0.23
1014,,,1.1.6,5,ESLINGAS DE CARGA,,,1.0,1.3333,,,Horas,0.25
1.1.7,,,1,2,Alquiler de andamio tipo tijeras (MLGF) ,,,,30.0,1.0,8,Días,
62,,,1.1.7,5,ANDAMIO TIPO TIJERA,,,1.0,8.0,,,Horas,0.38
64,,,1.1.7,5,TABLA PARA ANDAMIOS,,,1.0,8.0,,,Horas,0.03
1259,,,1.1.7,5,ARNES CON ESLINGA,,,1.0,8.0,,,Horas,0.5
1.1.8,,,1,2,Montaje de andamio tijeras (MLGF) ,,,,4.0,18.0,8,Unidades,
501,,,1.1.8,4,PLANIFICADOR,,,1.0,0.4444,,,Horas,3.76
502,,,1.1.8,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.4444,,,Horas,3.76
533,,,1.1.8,4,CAPATAZ,,,1.0,0.4444,,,Horas,3.49
646,,,1.1.8,4,ANDAMIEROS,,,1.0,0.4444,,,Horas,2.8
2,,,1.1.8,4,AYUDANTE,,,1.0,0.4444,,,Horas,2.47
