code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
1.1,,,,2,SUMINISTRO DE TORNILLERIA,,,,1,1,8,SG,
8475,,,1.1,3,"U BOLT PIPE 2"" ANSI/MSS SP-69 ",,,1,1,,,PZA,4.84
8476,,,1.1,3,"TORNILLO HEXAG 3/8"" X 1"" G2 GALVANIZADO UNC ",,,91,91,,,PZA,1.213121118
8477,,,1.1,3,"TORNILLO HEXAG 3/8"" X 1-1/4"" G2 GALVANIZADO UNC ",,,16,16,,,PZA,1.213121118
8478,,,1.1,3,"TORNILLO HEXAG 1/2"" X 1-1/2"" A-325 GALVANIZADO 13 UNC ",,,208,208,,,PZA,1.940993789
8479,,,1.1,3,"TORNILLO HEXAG 1/2"" X 1-3/4"" A-325 GALVANIZADO 13 UNC ",,,286,286,,,PZA,1.940993789
8480,,,1.1,3,"TORNILLO HEXAG 1/2"" X 2"" A-325 GALVANIZADO 13 UNC ",,,1,1,,,PZA,1.940993789
8481,,,1.1,3,"TORNILLO HEXAG 5/8"" X 1-3/4"" A-325 GALVANIZADO 11 UNC ",,,328,328,,,PZA,1.940993789
8482,,,1.1,3,"TORNILLO HEXAG 5/8"" X 2"" A-325 GALVANIZADO 11 UNC ",,,172,172,,,PZA,2.086568323
8483,,,1.1,3,"TORNILLO HEXAG 5/8"" X 2-1/4"" A-325 GALVANIZADO 11 UNC ",,,96,96,,,PZA,2.426242236
8484,,,1.1,3,"TORNILLO HEXAG 3/4"" X 2"" A-325 GALVANIZADO 10 UNC ",,,24,24,,,PZA,3.008540373
8485,,,1.1,3,"TORNILLO HEXAG 3/4"" X 2-1/4"" A-325 GALVANIZADO 10 UNC ",,,64,64,,,PZA,3.154114907
8486,,,1.1,3,"TORNILLO HEXAG 3/4"" X 2-1/2"" A-325 GALVANIZADO 10 UNC ",,,48,48,,,PZA,3.202639752
8487,,,1.1,3,"TUERCA HEXAGONAL PESADO 1/2"" -13 UNC A563 GR B GALVANIZ",,,1,1,,,PZA,1.455745342
8488,,,1.1,3,"TUERCA PAL-NUT 3/8"" UNC GALVANIZADO SAE 1045 ",,,107,107,,,PZA,0.194099379
8489,,,1.1,3,"TUERCA PAL-NUT 1/2"" UNC GALVANIZADO SAE 1045 ",,,494,494,,,PZA,0.242624224
8490,,,1.1,3,"TUERCA PAL-NUT 5/8"" UNC GALVANIZADO SAE 1045 ",,,596,596,,,PZA,0.291149068
8491,,,1.1,3,"TUERCA PAL-NUT 3/4"" UNC GALVANIZADO SAE 1045 ",,,136,136,,,PZA,0.388198758
8492,,,1.1,3,"ARANDELA DE PRESIÓN DE 3/8"" GALVANIZADA ",,,107,107,,,PZA,0.291149068
8493,,,1.1,3,"ARANDELA DE PRESIÓN DE 1/2"" GALVANIZADA ",,,495,495,,,PZA,0.388198758
8494,,,1.1,3,"ARANDELA DE PRESIÓN DE 5/8"" GALVANIZADA ",,,596,596,,,PZA,0.485248447
8495,,,1.1,3,"ARANDELA DE PRESIÓN DE 3/4"" GALVANIZADA ",,,136,136,,,PZA,0.630822981
8496,,,1.1,3,"ARANDELA PLANA DE 3/8"" GALVANIZADA ",,,214,214,,,PZA,0.097049689
8497,,,1.1,3,"ARANDELA PLANA DE 1/2"" GALVANIZADA ",,,988,988,,,PZA,0.145574534
8498,,,1.1,3,"ARANDELA PLANA DE 5/8"" GALVANIZADA ",,,1192,1192,,,PZA,0.194099379
8499,,,1.1,3,"ARANDELA PLANA DE 3/4"" GALVANIZADA ",,,272,272,,,PZA,0.242624224
1.6,,,,2,"SUMINISTRO DE PERNOS (D:1"" @ 2.0 M AISI 1045)",,,,32,3.914000034,8,PZA,
1007,,,1.6,5,EXTENSION ELECTRICA 100 MTS,,,1,2.043944796,,,PZA,0.15625
14,,,1.6,5,ROSCADORA ELECTRICA,,,1,2.043944796,,,PZA,3.25
141,,,1.6,4,FABRICADOR 1RA,,,1,2.043944796,,,Horas,2.25
2,,,1.6,4,AYUDANTE,,,1,2.043944796,,,Horas,1.875
293,,,1.6,5,"ESMERIL DE 7""",,,1,2.043944796,,,PZA,0.51125
5435,,,1.6,3,"BARRA LISA 1"" - ACERO ANSI 1045",,,2,2,,,M,20
1.2,,,,2,SUMINISTRO Y FABRICACIÓN DE PLETINAS DE PROTECCIÓN DE ESCALERA,,,,127.2,400,8,KG,
1007,,,1.2,5,EXTENSION ELECTRICA 100 MTS,,,1,0.02,,,KG,0.15625
1040,,,1.2,5,SOLDADORA MICROWIRE,,,1,0.02,,,KG,6.875
1138,,,1.2,5,EXTENSION 440 VOLTS ,,,1,0.02,,,KG,0.5
1149,,,1.2,5,CIZALLA HIDRAULICA,,,0.1,0.002,,,KG,31.25
141,,,1.2,4,FABRICADOR 1RA,,,1,0.02,,,Horas,2.25
1455,,,1.2,5,PUENTE GRUA 4.5 TON,,,0.25,0.005,,,KG,5.625
2,,,1.2,4,AYUDANTE,,,1,0.02,,,Horas,1.875
293,,,1.2,5,"ESMERIL DE 7""",,,1,0.02,,,KG,0.5
546,,,1.2,4,OPERADOR ,,,0.1,0.002,,,Horas,0.25
69,,,1.2,4,SOLDADOR DE 1ERA,,,1,0.02,,,Horas,2.125
6992,,,1.2,3,PERFIL DE ACERO ESTRUCTURAL,,,1,1,,,KG,1.63
8500,,,1.2,3,SERVICIO DE GALVANIZADO,,,1,1,,,KG,1.32
1.3,,,,2,SUMINISTRO Y FABRICACIÓN DE ANGULOS ESTRUCTURALES FALTANTES,,,,202.84,400,8,KG,
1007,,,1.3,5,EXTENSION ELECTRICA 100 MTS,,,1,0.02,,,KG,0.15625
1040,,,1.3,5,SOLDADORA MICROWIRE,,,1,0.02,,,KG,6.875
1138,,,1.3,5,EXTENSION 440 VOLTS ,,,1,0.02,,,KG,0.5
1149,,,1.3,5,CIZALLA HIDRAULICA,,,0.1,0.002,,,KG,31.25
141,,,1.3,4,FABRICADOR 1RA,,,1,0.02,,,Horas,2.25
1455,,,1.3,5,PUENTE GRUA 4.5 TON,,,0.25,0.005,,,KG,5.625
2,,,1.3,4,AYUDANTE,,,1,0.02,,,Horas,1.875
293,,,1.3,5,"ESMERIL DE 7""",,,1,0.02,,,KG,0.5
546,,,1.3,4,OPERADOR ,,,0.1,0.002,,,Horas,0.25
69,,,1.3,4,SOLDADOR DE 1ERA,,,1,0.02,,,Horas,2.125
