code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
3110.1,,,,1,PISO MAQUINAS ENVASADORAS,,,,,,,,
03110.1.1,,,3110.1,2,PREPARACION DE LA SUPERFICIE A TRAVES DE METODOS QUIMICOS CON APLICACIÓN DE SODA CAUSTICA Y DESENGRASANTE.,,,,149,250,8,M2,
4031,,,03110.1.1,3,DESENGRASANTE,,,0.07,0.07,,,LTR,0
4498,,,03110.1.1,3,CEPILLO DE BARRER,,,0.013,0.013,,,UND,0
5703,,,03110.1.1,3,COLETO,,,0.03,0.03,,,UND,0
8583,,,03110.1.1,3,CEPILLO DE BARRER CERDA DURA,,,0.013,0.013,,,UNID,0
1,,,03110.1.1,4,OBRERO DE PRIMERA,,,3,0.096,,,Horas,1.04625
501,,,03110.1.1,4,PLANIFICADOR,,,0.13,4.16E-03,,,Horas,2.3325
502,,,03110.1.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.008,,,Horas,2.3325
533,,,03110.1.1,4,CAPATAZ,,,0.5,0.016,,,Horas,2.0625
1086,,,03110.1.1,5,MECATE,,,50,1.6,,,M2,0.01625
1408,,,03110.1.1,5,MANGUERA JARDINERA,,,50,1.6,,,M2,0.00625
1463,,,03110.1.1,5,ASPIRADORA MANUAL,,,1,0.032,,,M2,0.2275
304,,,03110.1.1,5,TOBO PLASTICO CAP= 10 Lts PARA ALBAÑIL,,,2,0.064,,,M2,0.02375
333,,,03110.1.1,5,PALA RECTANGULAR,,,2,0.064,,,M2,0.11625
664,,,03110.1.1,5,ASPERJADORA MANUAL,,,1,0.032,,,M2,0.625
74,,,03110.1.1,5,CARRETILLA RUEDA DE GOMA CAP= 55 Lts,,,1,0.032,,,M2,0.15625
03110.1.2,,,3110.1,2,PREPARACION DE LA SUPERFICIE A TRAVES DE METODOS MECANICOS PARA REMOCION DE REVESTIMIENTO EXISTENTE Y GENERAR PERFIL DE ANCLAJE.,,,,149,85.36,8,M2,
7955,,,03110.1.2,3,MOLA PARA GRANITO #80,,,0.07,0.07,,,UND,0
8650,,,03110.1.2,3,"COPA ALAMBRE PARA ESMERIL 3""",,,0.07,0.07,,,UND,0
1,,,03110.1.2,4,OBRERO DE PRIMERA,,,1,0.093720712,,,Horas,1.04625
2,,,03110.1.2,4,AYUDANTE,,,1,0.093720712,,,Horas,1.04625
5,,,03110.1.2,4,ALBAÑIL DE 1a,,,1,0.093720712,,,Horas,1.3775
501,,,03110.1.2,4,PLANIFICADOR,,,0.13,1.22E-02,,,Horas,2.3325
502,,,03110.1.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.023430178,,,Horas,2.3325
533,,,03110.1.2,4,CAPATAZ,,,0.5,0.046860356,,,Horas,2.0625
1258,,,03110.1.2,5,EXTENCION ELECTRICA 25 MTS,,,1,0.093720712,,,M2,0.15
236,,,03110.1.2,5,"NIVEL DE 3 BURBUJAS 14""",,,1,0.093720712,,,M2,0.02875
251,,,03110.1.2,5,BARRA METALICA DE 1.47 Mts PARA HACER HOYOS,,,2,0.187441423,,,M2,0.125
293,,,03110.1.2,5,"ESMERIL DE 7""",,,1,0.093720712,,,M2,0.51125
333,,,03110.1.2,5,PALA RECTANGULAR,,,2,0.187441423,,,M2,0.11625
74,,,03110.1.2,5,CARRETILLA RUEDA DE GOMA CAP= 55 Lts,,,1,0.093720712,,,M2,0.15625
03110.1.3,,,3110.1,2,REPICADO DE LOSA DE PISO (A MANO) EN AREAS A REPARAR,,,,15,10.67,8,M2,
1,,,03110.1.3,4,OBRERO DE PRIMERA,,,2,1.499531386,,,Horas,1.04625
5,,,03110.1.3,4,ALBAÑIL DE 1a,,,1,0.749765693,,,Horas,1.3775
501,,,03110.1.3,4,PLANIFICADOR,,,0.13,9.75E-02,,,Horas,2.3325
502,,,03110.1.3,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.187441423,,,Horas,2.3325
533,,,03110.1.3,4,CAPATAZ,,,0.5,0.374882846,,,Horas,2.0625
163,,,03110.1.3,5,MANDARRIA MANGO CORTO 2 Kgs,,,2,1.499531386,,,M2,0.0375
170,,,03110.1.3,5,CINCEL PUNTA PLANA 1'' X 10'',,,2,1.499531386,,,M2,0.01625
254,,,03110.1.3,5,PICO,,,1,0.749765693,,,M2,0.125
333,,,03110.1.3,5,PALA RECTANGULAR,,,2,1.499531386,,,M2,0.11625
74,,,03110.1.3,5,CARRETILLA RUEDA DE GOMA CAP= 55 Lts,,,1,0.749765693,,,M2,0.15625
03110.1.4,,,3110.1,2,REMOCION MANUAL DE REVESTIMIENTO EPOXICO EXISTENTE EN AREAS D E OFICINAS.,,,,18,12.8,8,M2,
4301,,,03110.1.4,3,"DISCO DE CORTE DE 4"" PUNTA DE DIAMANTE ",,,0.11,0.11,,,PZA,0
4704,,,03110.1.4,3,"DISCO CORTE EXTRAFINO DE 4 1/2"" X 1/16""",,,0.11,0.11,,,PZA,0
79,,,03110.1.4,3,SOLVENTE UNIVERSAL (THINNER),,,0.05,0.05,,,GALON,0
8650,,,03110.1.4,3,"COPA ALAMBRE PARA ESMERIL 3""",,,0.22,0.22,,,UND,0
1,,,03110.1.4,4,OBRERO DE PRIMERA,,,2,1.249999981,,,Horas,1.04625
5,,,03110.1.4,4,ALBAÑIL DE 1a,,,1,0.624999991,,,Horas,1.3775
501,,,03110.1.4,4,PLANIFICADOR,,,0.13,8.12E-02,,,Horas,2.3325
502,,,03110.1.4,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.156249998,,,Horas,2.3325
533,,,03110.1.4,4,CAPATAZ,,,0.5,0.312499995,,,Horas,2.0625
1202,,,03110.1.4,5,"ESMERIL 4""",,,1,0.624999991,,,M2,0.34375
1258,,,03110.1.4,5,EXTENCION ELECTRICA 25 MTS,,,1,0.624999991,,,M2,0.15
494,,,03110.1.4,5,"ESPATULA 6""",,,2,1.249999981,,,M2,0.02
03110.1.5,,,3110.1,2,CONSTRUCCION DE REVESTIMIENTO CON MORTERO EPOXICO CON ARENA SILICE  E= 5CM ACABADO LISO. EN AREAS A REPARAR,,,,15,16,8,M2,
5102,,,03110.1.5,3,"TIRRO 1"" ",,,0.066,0.066,,,UND,0
8651,,,03110.1.5,3,ARENA SILICE (SACO 35 KG),,,0.066,0.066,,,SACO,15
8652,,,03110.1.5,3,MULTIPOX MORTERO (SACO 25 KG),,,0.15,0.15,,,SACO,365
8653,,,03110.1.5,3,DILUYENTE EPOXICO GALON,,,0.066,0.066,,,GALON,18
1,,,03110.1.5,4,OBRERO DE PRIMERA,,,2,1,,,Horas,1.04625
5,,,03110.1.5,4,ALBAÑIL DE 1a,,,1,0.5,,,Horas,1.3775
501,,,03110.1.5,4,PLANIFICADOR,,,0.13,6.50E-02,,,Horas,2.3325
502,,,03110.1.5,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.125,,,Horas,2.3325
