code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
1.1,A,,,2,"Corte y Desmontaje de forro/lamina metálico de acero al carbono hasta 3/8"" de espesor",,,,1,14,8,m2,,
004651,,,1.1,5,SEÑORITA-CADENA 2TON,,,1,0.571429,,,Unidades,0.43,3.4
004557,,,1.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.571429,,,Unidades,1,7.96
007981,,,1.1,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.571429,,,Unidades,0.33,2.6
004544,,,1.1,5,CARETA FACIAL-ESTANDAR,,,1,0.571429,,,Unidades,0.13,1
004817,,,1.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.571429,,,Unidades,0.25,2
004731,,,1.1,5,MANDARRIA 2KG,,,1,0.571429,,,Unidades,0.03,0.25
002575,,,1.1,4,PLANIFICADOR,,,0.13,0.074286,,,Dias,2.4963,19.97
003014,,,1.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.142857,,,Dias,2.4963,19.97
000767,,,1.1,4,CAPATAZ,,,0.5,0.285714,,,Dias,2.2075,17.66
001532,,,1.1,4,FABRICADOR,,,1,0.571429,,,Dias,1.6425,13.14
000307,,,1.1,4,AYUDANTE,,,2,1.142857,,,Dias,1.1913,9.53
004562,,,1.1,5,ESMERIL 7´´-VARIOS,,,1,0.571429,,,Unidades,0.51,4.09
004570,,,1.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.571429,,,Unidades,0.17,1.37
1.2,A,,,2,Corte y desmontaje de perfiles estructurales de acero al carbono IPN,,,,1,400,8,kg,,
004651,,,1.2,5,SEÑORITA-CADENA 2TON,,,1,0.02,,,Unidades,0.43,3.4
004557,,,1.2,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.02,,,Unidades,1,7.96
007981,,,1.2,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.02,,,Unidades,0.33,2.6
004544,,,1.2,5,CARETA FACIAL-ESTANDAR,,,1,0.02,,,Unidades,0.13,1
004817,,,1.2,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.02,,,Unidades,0.25,2
004731,,,1.2,5,MANDARRIA 2KG,,,1,0.02,,,Unidades,0.0313,0.25
002575,,,1.2,4,PLANIFICADOR,,,0.13,0.0026,,,Dias,2.4963,19.97
003014,,,1.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.005,,,Dias,2.4963,19.97
000767,,,1.2,4,CAPATAZ,,,0.5,0.01,,,Dias,2.2075,17.66
001532,,,1.2,4,FABRICADOR,,,1,0.02,,,Dias,1.6425,13.14
000307,,,1.2,4,AYUDANTE,,,1,0.02,,,Dias,1.1913,9.53
004562,,,1.2,5,ESMERIL 7´´-VARIOS,,,1,0.02,,,Unidades,0.51,4.09
004570,,,1.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.02,,,Unidades,0.17,1.37
000307,,,1.2,4,FABRICADOR DE 2DA.,,,1,0.02,,,Dias,1.1913,9.53
2.1,A,,,2,"Fabricación y Montaje de Forro metálico (Recuperado) de Acero al Carbono hasta 3/8"" de espesor (Aplica a secciones parciales planas)",,,,1,10,8,m2,,
002575,,,2.1,4,PLANIFICADOR,,,0.13,0.104,,,Dias,2.4963,19.97
003014,,,2.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.2,,,Dias,2.4963,19.97
000767,,,2.1,4,CAPATAZ,,,0.5,0.4,,,Dias,2.2075,17.66
001532,,,2.1,4,FABRICADOR,,,1,0.8,,,Dias,1.6425,13.14
000307,,,2.1,4,AYUDANTE,,,2,1.6,,,Dias,1.1913,9.53
004562,,,2.1,5,ESMERIL 7´´-VARIOS,,,1,0.8,,,Unidades,0.51,4.09
004570,,,2.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.8,,,Unidades,0.17,1.37
004557,,,2.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.8,,,Unidades,1,7.96
007981,,,2.1,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.8,,,Unidades,0.33,2.6
004538,,,2.1,5,SEÑORITA-CADENA 3TON,,,1,0.8,,,Unidades,0.52,4.13
004817,,,2.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.8,,,Unidades,0.25,2
004731,,,2.1,5,MANDARRIA 2KG,,,1,0.8,,,Unidades,0.03,0.25
004602,,,2.1,5,SOLDADORA ELECTRICA-CD/DC 250,,,0.25,0.2,,,Unidades,5.13,41
004544,,,2.1,5,CARETA FACIAL-ESTANDAR,,,1,0.8,,,Unidades,0.13,1
2.2,A,,,2,Fabricación y montaje de perfiles estructurales de acero al carbono IPN,,,,1,140,8,kg,,
002575,,,2.2,4,PLANIFICADOR,,,0.13,0.007429,,,Dias,2.4963,19.97
003014,,,2.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.014286,,,Dias,2.4963,19.97
000767,,,2.2,4,CAPATAZ,,,0.5,0.028571,,,Dias,2.2075,17.66
001532,,,2.2,4,FABRICADOR,,,1,0.057143,,,Dias,1.6425,13.14
000307,,,2.2,4,AYUDANTE,,,2,0.114286,,,Dias,1.1913,9.53
004562,,,2.2,5,ESMERIL 7´´-VARIOS,,,1,0.057143,,,Unidades,0.51,4.09
004570,,,2.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.057143,,,Unidades,0.17,1.37
004557,,,2.2,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.057143,,,Unidades,1,7.96
007981,,,2.2,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.057143,,,Unidades,0.33,2.6
004538,,,2.2,5,SEÑORITA-CADENA 3TON,,,1,0.057143,,,Unidades,0.52,4.13
004817,,,2.2,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.057143,,,Unidades,0.25,2
004731,,,2.2,5,MANDARRIA 2KG,,,1,0.057143,,,Unidades,0.03,0.25
004602,,,2.2,5,SOLDADORA ELECTRICA-CD/DC 250,,,0.2,0.011429,,,Unidades,5.13,41
004544,,,2.2,5,CARETA FACIAL-ESTANDAR,,,1,0.057143,,,Unidades,0.13,1
2.3,A,,,2,Montaje de perfiles estructurales de acero al carbono IPN,,,,1,276.66,8,kg,,
002575,,,2.3,4,PLANIFICADOR,,,0.13,0.003759,,,Dias,2.4963,19.97
003014,,,2.3,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.007229,,,Dias,2.4963,19.97
000767,,,2.3,4,CAPATAZ,,,0.5,0.014458,,,Dias,2.2075,17.66
001532,,,2.3,4,FABRICADOR,,,1,0.028916,,,Dias,1.6425,13.14
000307,,,2.3,4,AYUDANTE,,,2,0.057833,,,Dias,1.1913,9.53
004562,,,2.3,5,ESMERIL 7´´-VARIOS,,,1,0.028916,,,Unidades,0.5113,4.09
004570,,,2.3,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.028916,,,Unidades,0.1713,1.37
004557,,,2.3,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.028916,,,Unidades,0.995,7.96
007981,,,2.3,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.028916,,,Unidades,0.325,2.6
004538,,,2.3,5,SEÑORITA-CADENA 3TON,,,1,0.028916,,,Unidades,0.5163,4.13
004817,,,2.3,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,0.028916,,,Unidades,0.25,2
004731,,,2.3,5,MANDARRIA 2KG,,,1,0.028916,,,Unidades,0.0313,0.25
004602,,,2.3,5,SOLDADORA ELECTRICA-CD/DC 250,,,0.2,0.005783,,,Unidades,5.125,41
004544,,,2.3,5,CARETA FACIAL-ESTANDAR,,,1,0.028916,,,Unidades,0.125,1
3.1,A,,,2,Aplicación de soldadura SMAW (Acero al Carbono),,,,1,14,8,ML,,
002575,,,3.1,4,PLANIFICADOR,,,0.13,0.074286,,,Dias,2.4963,19.97
003014,,,3.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.142857,,,Dias,2.4963,19.97
000767,,,3.1,4,CAPATAZ,,,0.5,0.285714,,,Dias,2.2075,17.66
002998,,,3.1,4,SOLDADOR,,,1,0.571429,,,Dias,1.5688,12.55
000307,,,3.1,4,AYUDANTE,,,2,1.142857,,,Dias,1.1913,9.53
004602,,,3.1,5,SOLDADORA ELECTRICA-CD/DC 250,,,1,0.571429,,,Unidades,5.13,41
004562,,,3.1,5,ESMERIL 7´´-VARIOS,,,1,0.571429,,,Unidades,0.51,4.09
004570,,,3.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.571429,,,Unidades,0.17,1.37
004544,,,3.1,5,CARETA FACIAL-ESTANDAR,,,1,0.571429,,,Unidades,0.125,1
004738,,,3.1,5,PIQUETA ALBAÑILERIA,,,1,0.571429,,,Unidades,0.0988,0.79
4.1,A,,,2,Desmontaje de separadores y bandejas en domos.,,,,1,0.5,8,Unidades,,
004686,,,4.1,5,JUEGO LLAVES COMBINADAS MM 14 PZA,,,1,16,,,Unidades,0.25,2
004557,,,4.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,16,,,Unidades,1,7.96
007981,,,4.1,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,16,,,Unidades,0.33,2.6
004731,,,4.1,5,MANDARRIA 2KG,,,1,16,,,Unidades,0.03,0.25
1.4.5,,,4.1,5,ILUMINACION 400W UNIVERSAL,,,1,16,,,Unidades,0.13,1
004817,,,4.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,16,,,Unidades,0.25,2
014232,,,4.1,5,"EXTRACTOR DE ORUGA PORTATIL ALTA VELOC 12"" 520W 110V 3300RPM",,,1,16,,,Unidades,0.63,5
004570,,,4.1,5,EXTENSION ELECTRICA-ESTANDAR,,,2,32,,,Unidades,0.17,1.37
002575,,,4.1,4,PLANIFICADOR,,,0.13,2.08,,,Dias,2.4963,19.97
003014,,,4.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,4,,,Dias,2.4963,19.97
000767,,,4.1,4,CAPATAZ,,,0.5,8,,,Dias,2.2075,17.66
002217,,,4.1,4,MECANICO,,,1,16,,,Dias,1.6425,13.14
000307,,,4.1,4,AYUDANTE,,,2,32,,,Dias,1.1913,9.53
4.2,A,,,2,Limpieza de separadores y bandejas en domos.,,,,1,1,8,Unidades,,
004686,,,4.2,5,JUEGO LLAVES COMBINADAS MM 14 PZA,,,1,8,,,Unidades,0.25,2
004583,,,4.2,5,HIDROLAVADORA -HIDROJET,,,1,8,,,Unidades,3.125,25
007981,,,4.2,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,8,,,Unidades,0.33,2.6
004570,,,4.2,5,EXTENSION ELECTRICA-ESTANDAR,,,2,16,,,Unidades,0.17,1.37
002575,,,4.2,4,PLANIFICADOR,,,0.13,1.04,,,Dias,2.4963,19.97
