code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
1,,,,1,TRANSPORTADOR DE CANGILONES,,,,,,,,,
1.1,,,1,2,"CORTE, DESMONTAJE Y REUBICACIÓN HACÍA EL NIVEL SUPERIOR DEL CABEZAL MOTRIZ DE CANGILONES. INCLUYE RIGIRIZADORES PARA SUJECIÓN DEL DUCTO Y TAPA DE SELLO EN LÁMINA ASTM A-36 DE 1/4""",,,,1,0.1,8,PZA,,
001532,,,1.1,4,FABRICADOR,,,1,79.9999988079071,,,Horas,1.54,12.32
000307,,,1.1,4,AYUDANTE,,,5,399.999994039536,,,Horas,1.30125,10.41
003014,,,1.1,4,SUPERVISOR DE SEGURIDAD,,,1,79.9999988079071,,,Horas,2.755,22.04
000767,,,1.1,4,CAPATAZ,,,1,79.9999988079071,,,Horas,1.54,12.32
002998,,,1.1,4,SOLDADOR DE 1ERA,,,1,79.9999988079071,,,Horas,1.5,12
002217,,,1.1,4,MECANICO,,,1,79.9999988079071,,,Horas,1.5,12
004570,,,1.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,79.9999988079071,,,Horas,0.17125,1.37
004729,,,1.1,5,FORMALETAS PARA ANDAMIO,,,2,159.999997615814,,,Horas,0.0625,0.5
001817,,,1.1,5,ILUMINACION 400W UNIVERSAL,,,1,79.9999988079071,,,Horas,0.125,1
013373,,,1.1,5,JUEGO DE DADOS CUD 1/2 MM 23 PZA,,,1,79.9999988079071,,,Horas,0.25,2
004535,,,1.1,5,ARNES DE SEGURIDAD CON ESLINGA-CORPORAL,,,2,159.999997615814,,,Horas,0.05,0.4
015838,,,1.1,5,JUEGO LLAVES COMBINADA PULG 11 PZA,,,1,79.9999988079071,,,Horas,0.125,1
004746,,,1.1,5,KIT DE HERRAMIENTAS MENORES,,,1,79.9999988079071,,,Horas,0.2625,2.1
004600,,,1.1,5,MAQUINA DE SOLDAR-BIG BLUE 500X,,,0.5,39.9999994039536,,,Horas,13.0625,104.5
004538,,,1.1,5,SEÑORITA-CADENA 3TON,,,2,159.999997615814,,,Horas,0.51625,4.13
004653,,,1.1,5,SEÑORITA-RATCHET 1.1/2TON,,,2,159.999997615814,,,Horas,0.2825,2.26
