code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
1,,,,1,Fabricación de Placa perforada para Condensadores Barométricos de Tachos de Crudo,,,,,,,,,,
1.1,,,1,2,Trazado y Corte en caliente (Mesa de Plasma),,,,1.0,70.0,8,m,,,
002575,,,1.1,4,PLANIFICADOR,,,0.13,0.014857,,,Dias,2.4963,19.97,
003014,,,1.1,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.114286,,,Dias,2.4963,19.97,
000767,,,1.1,4,CAPATAZ,,,0.5,0.057143,,,Dias,2.2075,17.66,
002343,,,1.1,4,OPERADOR,,,1.0,0.114286,,,Dias,1.6425,13.14,
000307,,,1.1,4,AYUDANTE,,,0.5,0.057143,,,Dias,1.1913,9.53,
MCP-001,,,1.1,5,MESA DE CORTE PLASMA,,,1.0,0.114286,,,Unidades,5.625,45.0,
007861,,,1.1,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.13,0.014857,,,Unidades,5.625,45.0,
007937,,,1.1,3,BOQUILLA(NOZZLE) 50A AL BK277125 LINCOLN P/MAQUINA DE CORTE POR PLASMA,,,1.0,0.01,,,Pza,18.2,,
007932,,,1.1,3,ELECTRODO DE COBRE 50AMP SS BK277137 LINCOLN P/MAQUINA CORTE P/PLASMA,,,1.0,0.01,,,Pza,31.99,,
1.2,,,1,2,Limpieza manual mecanica de zona de corte,,,,1.0,200.0,8,m,,,
002575,,,1.2,4,PLANIFICADOR,,,0.13,0.0052,,,Dias,2.4963,19.97,
003014,,,1.2,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.04,,,Dias,2.4963,19.97,
000767,,,1.2,4,CAPATAZ,,,0.5,0.02,,,Dias,2.2075,17.66,
000307,,,1.2,4,AYUDANTE,,,1.0,0.04,,,Dias,1.1913,9.53,
004562,,,1.2,5,ESMERIL 7´´-VARIOS,,,1.0,0.04,,,Unidades,0.5113,4.09,
004570,,,1.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.04,,,Unidades,0.1713,1.37,
004544,,,1.2,5,CARETA FACIAL-ESTANDAR,,,1.0,0.01,,,Unidades,0.125,1.0,
001313,,,1.2,3,DISCO DE DESBASTE DIAMETRO 7 PLG ACERO INOXIDABLE,,,1.0,0.04,,,Pza,3.1186,,
001319,,,1.2,3,DISCO DE LIJA FLAP DIAMETRO 4" GRANO 80 PARA ESMERIL,,,1.0,0.04,,,Pza,1.1434,,
1.3,,,1,2,Perforación de agujeros Ø 16mm en caliente (Mesa),,,,1.0,1200.0,8,Unidades,,,
002575,,,1.3,4,PLANIFICADOR,,,0.13,0.000867,,,Dias,2.4963,19.97,
003014,,,1.3,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.006667,,,Dias,2.4963,19.97,
000767,,,1.3,4,CAPATAZ,,,0.5,0.003333,,,Dias,2.2075,17.66,
002343,,,1.3,4,OPERADOR,,,1.0,0.006667,,,Dias,1.6425,13.14,
000307,,,1.3,4,AYUDANTE,,,0.5,0.003333,,,Dias,1.1913,9.53,
MCP-001,,,1.3,5,MESA DE CORTE PLASMA,,,1.0,0.006667,,,Unidades,5.625,45.0,
007937,,,1.3,3,BOQUILLA(NOZZLE) 50A AL BK277125 LINCOLN P/MAQUINA DE CORTE POR PLASMA,,,1.0,0.02,,,Pza,18.2,,
007932,,,1.3,3,ELECTRODO DE COBRE 50AMP SS BK277137 LINCOLN P/MAQUINA CORTE P/PLASMA,,,1.0,0.02,,,Pza,31.99,,
1.4,,,1,2,Rectificado a diametro requerido 16mm de Agujeros mediante Perforación en Frío (Taladro),,,,1.0,325.0,8,Unidades,,,
002575,,,1.4,4,PLANIFICADOR,,,0.13,0.0032,,,Dias,2.4963,19.97,
003014,,,1.4,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.024615,,,Dias,2.4963,19.97,
000767,,,1.4,4,CAPATAZ,,,0.5,0.012308,,,Dias,2.2075,17.66,
002343,,,1.4,4,OPERADOR,,,2.0,0.049231,,,Dias,1.6425,13.14,
000307,,,1.4,4,AYUDANTE,,,0.5,0.012308,,,Dias,1.1913,9.53,
TA-153,,,1.4,5,TALADRO RADIAL UCIMU,,,2.0,0.049231,,,Unidades,1.7188,13.75,
007861,,,1.4,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.13,0.0032,,,Unidades,5.625,45.0,
002248,,,1.4,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 5/8",,,1.0,0.03,,,Pza,49.5,,
002757,,,1.4,3,REFRIGERANTE TALADRINA (LTS),,,1.0,0.01,,,L,5.5,,
1.5,,,1,2,Fabricación de Herramientas complementarias para limpieza de rebaba producto de corte en frío en  agujeros,,,,8.0,325.0,8,Pza,,,
002575,,,1.5,4,PLANIFICADOR,,,0.13,0.0032,,,Dias,2.4963,19.97,
003014,,,1.5,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.024615,,,Dias,2.4963,19.97,
000767,,,1.5,4,CAPATAZ,,,0.5,0.012308,,,Dias,2.2075,17.66,
002343,,,1.5,4,OPERADOR,,,1.0,0.024615,,,Dias,1.6425,13.14,
000307,,,1.5,4,AYUDANTE,,,0.25,0.006154,,,Dias,1.1913,9.53,
TA-018,,,1.5,5,TORNO MISAL,,,2.0,0.049231,,,Unidades,2.8125,22.5,
013542,,,1.5,3,BURIL DE TUNGSTENO 12 MM,,,1.0,0.0625,,,Pza,65.0,,
002226,,,1.5,3,MECHA 5/8" PARA TALADRO,,,1.0,1.0,,,Pza,15.544,,
1.6,,,1,2,Limpieza de rebaba en Agujeros  Ø 16mm, con uso de taladro radial industrial.,,,,1.0,325.0,8,Unidades,,,
002575,,,1.6,4,PLANIFICADOR,,,0.13,0.0032,,,Dias,2.4963,19.97,
003014,,,1.6,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.024615,,,Dias,2.4963,19.97,
000767,,,1.6,4,CAPATAZ,,,0.5,0.012308,,,Dias,2.2075,17.66,
002343,,,1.6,4,OPERADOR,,,2.0,0.049231,,,Dias,1.6425,13.14,
000307,,,1.6,4,AYUDANTE,,,0.5,0.012308,,,Dias,1.1913,9.53,
TA-153,,,1.6,5,TALADRO RADIAL UCIMU,,,2.0,0.049231,,,Unidades,1.7188,13.75,
007861,,,1.6,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.13,0.0032,,,Unidades,5.625,45.0,
002248,,,1.6,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 5/8",,,1.0,0.03,,,Pza,49.5,,
2,,,,1,Fabricación de accesos (registros) para Condensadores Barométricos de Tachos de Crudo,,,,,,,,,,
2.1,,,2,2,Trazado y Corte en caliente (Mesa de Oxicorte),,,,1.0,80.0,8,m,,,
002575,,,2.1,4,PLANIFICADOR,,,0.13,0.013,,,Dias,2.4963,19.97,
003014,,,2.1,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.1,,,Dias,2.4963,19.97,
000767,,,2.1,4,CAPATAZ,,,0.5,0.05,,,Dias,2.2075,17.66,
002343,,,2.1,4,OPERADOR,,,1.0,0.1,,,Dias,1.6425,13.14,
000307,,,2.1,4,AYUDANTE,,,0.5,0.05,,,Dias,1.1913,9.53,
MCP-001,,,2.1,5,MESA DE CORTE PLASMA,,,1.0,0.1,,,Unidades,5.625,45.0,
007861,,,2.1,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.13,0.013,,,Unidades,5.625,45.0,
001714,,,2.1,3,GAS PROPANO (RECARGA),,,1.0,0.108,,,kg,0.3492,,
011550,,,2.1,3,CILINDRO DE OXIGENO OXIROGA (CIL),,,1.0,0.05,,,CIL,34.5149,,
000428,,,2.1,3,Boquillas para corte Ox/Propano (Mesa),,,1.0,0.001,,,Pza,16.5,,
2.2,,,2,2,Limpieza manual mecanica (remoción de rebaba producto del corte).,,,,1.0,150.0,8,m,,,
002575,,,2.2,4,PLANIFICADOR,,,0.13,0.006933,,,Dias,2.4963,19.97,
003014,,,2.2,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.053333,,,Dias,2.4963,19.97,
000767,,,2.2,4,CAPATAZ,,,0.5,0.026667,,,Dias,2.2075,17.66,
000307,,,2.2,4,AYUDANTE,,,1.0,0.053333,,,Dias,1.1913,9.53,
004562,,,2.2,5,ESMERIL 7´´-VARIOS,,,1.0,0.053333,,,Unidades,0.5113,4.09,
004570,,,2.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.053333,,,Unidades,0.1713,1.37,
004544,,,2.2,5,CARETA FACIAL-ESTANDAR,,,1.0,0.053333,,,Unidades,0.125,1.0,
001329,,,2.2,3,DISCO DESBASTE DIAMETRO 7 PULGADAS METAL,,,1.0,0.04,,,Pza,3.5508,,
2.3,,,2,2,Perforación en frio con uso de taladro radial, con ajustes dimensionales desde 1-1/2" hasta 1/8" para Agujeros de piezas que conforman los registros,,,,1.0,30.0,8,Unidades,,,
002575,,,2.3,4,PLANIFICADOR,,,0.13,0.034667,,,Dias,2.4963,19.97,
003014,,,2.3,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.266667,,,Dias,2.4963,19.97,
000767,,,2.3,4,CAPATAZ,,,0.5,0.133333,,,Dias,2.2075,17.66,
002343,,,2.3,4,OPERADOR,,,1.0,0.266667,,,Dias,1.6425,13.14,
000307,,,2.3,4,AYUDANTE,,,1.0,0.266667,,,Dias,1.1913,9.53,
TA-153,,,2.3,5,TALADRO RADIAL UCIMU,,,1.0,0.266667,,,Unidades,1.7188,13.75,
007861,,,2.3,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.13,0.034667,,,Unidades,5.625,45.0,
002236,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 1/8",,,1.0,0.004,,,Pza,3.0,,
002232,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 5 MM",,,1.0,0.004,,,Pza,4.03,,
002230,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO 10 MM,,,1.0,0.004,,,Pza,16.5,,
002230,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO 15 MM,,,1.0,0.004,,,Pza,75.0,,
002230,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO 20 MM,,,1.0,0.004,,,Pza,75.0,,
002233,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 1",,,1.0,0.004,,,Pza,128.0,,
002233,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 1-1/8",,,1.0,0.004,,,Pza,128.0,,
002233,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 1-3/8",,,1.0,0.004,,,Pza,128.0,,
002233,,,2.3,3,MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 1-1/2",,,1.0,0.004,,,Pza,128.0,,
2.4,,,2,2,Mecanizado en torno de piezas para ensamblaje de registro (Bisel de bordes, avellanado en perforaciones, refrentado),,,,1.0,7.0,8,Pza,,,
002575,,,2.4,4,PLANIFICADOR,,,0.13,0.148571,,,Dias,2.4963,19.97,
003014,,,2.4,4,SUPERVISOR DE SEGURIDAD,,,1.0,1.142857,,,Dias,2.4963,19.97,
000767,,,2.4,4,CAPATAZ,,,0.5,0.571429,,,Dias,2.2075,17.66,
002343,,,2.4,4,OPERADOR,,,1.0,1.142857,,,Dias,1.6425,13.14,
000307,,,2.4,4,AYUDANTE,,,0.25,0.285714,,,Dias,1.1913,9.53,
TA-018,,,2.4,5,TORNO MISAL,,,1.0,1.142857,,,Unidades,2.8125,22.5,
013542,,,2.4,3,BURIL DE TUNGSTENO 12 MM,,,1.0,0.02,,,Pza,65.0,,
013542,,,2.4,3,Herramienta (Buril) de biselado y Avellanado para Torno Industrial ( Material HSS o Carburo de Tungsteno),,,1.0,0.02,,,Pza,65.0,,
2.5,,,2,2,Verificación dimensional y preensamblaje,,,,1.0,7.0,8,Pza,,,
002575,,,2.5,4,PLANIFICADOR,,,0.13,0.148571,,,Dias,2.4963,19.97,
003014,,,2.5,4,SUPERVISOR DE SEGURIDAD,,,1.0,1.142857,,,Dias,2.4963,19.97,
000767,,,2.5,4,CAPATAZ,,,0.5,0.571429,,,Dias,2.2075,17.66,
002343,,,2.5,4,OPERADOR,,,1.0,1.142857,,,Dias,1.6425,13.14,
000307,,,2.5,4,AYUDANTE,,,0.25,0.285714,,,Dias,1.1913,9.53,
004684,,,2.5,5,VERNIER 12" -S/N,,,1.0,1.142857,,,Unidades,0.0625,0.5,
004684,,,2.5,5,Lupa 30X,,,1.0,1.142857,,,Unidades,0.0625,0.5,
004684,,,2.5,5,Cinta Metrica  Fibra 30m,,,1.0,1.142857,,,Unidades,0.0625,0.5,
004623,,,2.5,5,MICROMETRO PARA INTERIOR 500 A 1600MM,,,1.0,1.142857,,,Unidades,0.1325,1.06,
004619,,,2.5,5,MICROMETRO EXTERIORES 125-150MM,,,1.0,1.142857,,,Unidades,0.0375,0.3,
004684,,,2.5,5,VERNIER 12" -S/N,,,1.0,1.142857,,,Unidades,0.0625,0.5,
004622,,,2.5,5,MICROMETRO PARA INTERIOR 50 A 500MM,,,1.0,1.142857,,,Unidades,0.0463,0.37,
004617,,,2.5,5,MICROMETRO PARA EXTERIORES 75-100MM,,,1.0,1.142857,,,Unidades,0.0188,0.15,
004745,,,2.5,5,ESCUADRA DE 24 PULG,,,1.0,1.142857,,,Unidades,0.02,0.16,
2.6,,,2,2,Trazado y Corte en frio de pletinas (Cizalla) (Corte parciales espesores hasta 6mm, acero al carbono),,,,1.0,5.0,8,m,,,
002575,,,2.6,4,PLANIFICADOR,,,0.13,0.208,,,Dias,2.4963,19.97,
003014,,,2.6,4,SUPERVISOR DE SEGURIDAD,,,1.0,1.6,,,Dias,2.4963,19.97,
000767,,,2.6,4,CAPATAZ,,,0.5,0.8,,,Dias,2.2075,17.66,
002343,,,2.6,4,OPERADOR,,,1.0,1.6,,,Dias,1.6425,13.14,
000307,,,2.6,4,AYUDANTE,,,0.25,0.4,,,Dias,1.1913,9.53,
CH-JMT,,,2.6,5,CIZALLA HIDRÁULICA JMT,,,1.0,1.6,,,Unidades,3.9063,31.25,
004684,,,2.6,5,Cinta Metrica  Fibra 30m,,,1.0,1.6,,,Unidades,0.0625,0.5,
004745,,,2.6,5,ESCUADRA DE 24 PULG,,,1.0,1.6,,,Unidades,0.02,0.16,
004745,,,2.6,5,Regla patron graduada,,,1.0,1.6,,,Unidades,0.02,0.16,
014331,,,2.6,3,MARCADOR PARA METAL COLOR ROJO (UND),,,1.0,0.01,,,Pza,9.86,,
2.7,,,2,2,Preensamblado mediante soldadura  (Punteo) de conjunto Registro,,,,1.0,5.0,8,Pza,,,
002575,,,2.7,4,PLANIFICADOR,,,0.13,0.208,,,Dias,2.4963,19.97,
003014,,,2.7,4,SUPERVISOR DE SEGURIDAD,,,1.0,1.6,,,Dias,2.4963,19.97,
000767,,,2.7,4,CAPATAZ,,,0.5,0.8,,,Dias,2.2075,17.66,
001532,,,2.7,4,FABRICADOR,,,1.0,1.6,,,Dias,1.6425,13.14,
000307,,,2.7,4,AYUDANTE,,,1.0,1.6,,,Dias,1.1913,9.53,
004746,,,2.7,5,KIT DE HERRAMIENTAS MENORES,,,1.0,1.6,,,Unidades,0.2625,2.1,
004745,,,2.7,5,ESCUADRA DE 24 PULG,,,1.0,1.6,,,Unidades,0.02,0.16,
004561,,,2.7,5,ESMERIL  4.1/2´´-VARIOS,,,1.0,1.6,,,Unidades,0.3438,2.75,
004570,,,2.7,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,1.6,,,Unidades,0.1713,1.37,
004602,,,2.7,5,SOLDADORA ELECTRICA-CD/DC 250,,,1.0,1.6,,,Unidades,5.125,41.0,
004544,,,2.7,5,CARETA FACIAL-ESTANDAR,,,1.0,1.6,,,Unidades,0.125,1.0,
001354,,,2.7,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 3/32 X L 350 MM CC+ AWS 5.1,,,1.0,0.05,,,kg,4.7,,
001312,,,2.7,3,DISCO DE DESBASTE DIAMETRO 4 1/2" EJE 1/4" ESP 7/8",,,1.0,0.02,,,Pza,2.1198,,
2.8,,,2,2,Ensamblaje mediante soldadura SMAW del elemento (Registro).,,,,1.0,10.0,8,m,,,
002575,,,2.8,4,PLANIFICADOR,,,0.13,0.104,,,Dias,2.4963,19.97,
003014,,,2.8,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.8,,,Dias,2.4963,19.97,
000767,,,2.8,4,CAPATAZ,,,0.5,0.4,,,Dias,2.2075,17.66,
002998,,,2.8,4,SOLDADOR,,,1.0,0.8,,,Dias,1.5688,12.55,
000307,,,2.8,4,AYUDANTE,,,1.0,0.8,,,Dias,1.1913,9.53,
004561,,,2.8,5,ESMERIL  4.1/2´´-VARIOS,,,1.0,0.8,,,Unidades,0.3438,2.75,
004570,,,2.8,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.8,,,Unidades,0.1713,1.37,
004624,,,2.8,5,MOTO TOOL  -VARIOS,,,1.0,0.8,,,Unidades,0.375,3.0,
004602,,,2.8,5,SOLDADORA ELECTRICA-CD/DC 250,,,1.0,0.8,,,Unidades,5.125,41.0,
004544,,,2.8,5,CARETA FACIAL-ESTANDAR,,,1.0,0.8,,,Unidades,0.125,1.0,
001359,,,2.8,3,ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 3/32 X L 350 MM CA CC+ AWS 5.1,,,1.0,0.09,,,kg,4.6556,,
001312,,,2.8,3,DISCO DE DESBASTE DIAMETRO 4 1/2" EJE 1/4" ESP 7/8",,,1.0,0.02,,,Pza,2.1198,,
001316,,,2.8,3,DISCO DE LIJA FLAP DIAMETRO 4 1/2 PLG GRANO 100 PARA ESMERIL,,,1.0,0.02,,,Pza,1.0,,
002472,,,2.8,3,PIEDRA PARA MOTOTOOL EJE 1/4 PLG TIPO A12,,,1.0,0.02,,,Pza,1.5,,
3,,,,1,Fabricación de Visores (Mirillas) para Condensadores Barométricos de Tachos de Crudo,,,,,,,,,,
3.1,,,3,2,Trazado y Corte en caliente (Mesa de Oxicorte),,,,1.0,80.0,8,m,,,
002575,,,3.1,4,PLANIFICADOR,,,0.13,0.013,,,Dias,2.4963,19.97,
