code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
A,,,,1,CCM CRUDO Y FABRICA,,,,,,,,,
A.1,,,A,2,"Reparacion de frisos en paredes, incluye repicado y rotura de friso suelto",,,,91.71,20,8,M2,,
000821,,,A.1,3,"CEMENTO GRIS (SACO DE 42,5 kg)",,,0.31055900621118,0.31055900621118,,,Saco,12,
011962,,,A.1,3,ESTUCO SACO DE 10 KG,,,0.31055900621118,0.31055900621118,,,Saco,5.96,
001765,,,A.1,3,GUANTE DE HILO CON PVC (PAR),,,0.2,0.2,,,Par,0.3781,
002056,,,A.1,3,"LIJA DE AGUA GRANO 180  MICROFINA 9"" X 11""  MULTIUSO",,,0.31055900621118,0.31055900621118,,,Pza,0.7559,
002414,,,A.1,3,PASTA PROFESIONAL,,,0.031055900621118,0.031055900621118,,,galon,20,
002505,,,A.1,3,PINTURA CAUCHO GRIS CEMENTO,,,0.062111801242236,0.062111801242236,,,galon,32.68,
007865,,,A.1,3,ARENA LAVADA M3,,,0.062111801242236,0.062111801242236,,,M3,35,
002884,,,A.1,3,SELLADOR ANTIALCALINO VP P/PARED / KEM SELLADOR,,,0.031055900621118,0.031055900621118,,,galon,17.7313,
008386,,,A.1,3,YESO (KG),,,0.015527950310559,0.015527950310559,,,kg,0.6357,
015246,,,A.1,4,AYUDANTE ESPECIALIZADO,,,3,1.2,,,Horas,1.19125,9.53
000125,,,A.1,4,ALBAÑIL DE 1a,,,1,0.4,,,Horas,1.56875,12.55
003014,,,A.1,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.2,,,Horas,2.49625,19.97
000767,,,A.1,4,CAPATAZ,,,1,0.4,,,Horas,2.2075,17.66
004729,,,A.1,5,FORMALETAS PARA ANDAMIO,,,2,0.8,,,Horas,0.0625,0.5
004744,,,A.1,5,LLANA LISA ALBAÑILERIA,,,2,0.8,,,Horas,0.01875,0.15
004741,,,A.1,5,PALA RECTANGULAR ALBAÑILERIA,,,2,0.8,,,Horas,0.11625,0.93
004736,,,A.1,5,CARRETILLA DE ALBAÑILERIA,,,2,0.8,,,Horas,0.15625,1.25
008479,,,A.1,5,CEPILLO DE ALBAÑILERIA,,,2,0.8,,,Horas,0.0625,0.5
008138,,,A.1,5,TOBO DE ALBAÑILERIA,,,2,0.8,,,Horas,0.01875,0.15
004757,,,A.1,5,CUERPO DE ANDAMIO,,,2,0.8,,,Horas,0.1875,1.5
A.2,,,A,2,"Reparacion de piso existente, acabo liso",,,,3,5,8,M2,,
000821,,,A.2,3,"CEMENTO GRIS (SACO DE 42,5 kg)",,,0.6,0.6,,,Saco,12,
001765,,,A.2,3,GUANTE DE HILO CON PVC (PAR),,,0.2,0.2,,,Par,0.3781,
007865,,,A.2,3,ARENA LAVADA M3,,,0.02,0.02,,,M3,35,
015246,,,A.2,4,AYUDANTE ESPECIALIZADO,,,2,3.2,,,Horas,1.19125,9.53
000125,,,A.2,4,ALBAÑIL DE 1a,,,1,1.6,,,Horas,1.56875,12.55
003014,,,A.2,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.8,,,Horas,2.49625,19.97
000767,,,A.2,4,CAPATAZ,,,1,1.6,,,Horas,2.2075,17.66
004744,,,A.2,5,LLANA LISA ALBAÑILERIA,,,1,1.6,,,Horas,0.01875,0.15
004741,,,A.2,5,PALA RECTANGULAR ALBAÑILERIA,,,1,1.6,,,Horas,0.11625,0.93
004736,,,A.2,5,CARRETILLA DE ALBAÑILERIA,,,1,1.6,,,Horas,0.15625,1.25
008479,,,A.2,5,CEPILLO DE ALBAÑILERIA,,,1,1.6,,,Horas,0.0625,0.5
004733,,,A.2,5,CUCHARA ALBAÑILERIA,,,1,1.6,,,Horas,0.01875,0.15
A.3,,,A,2,"Pintura epoxica gris en piso, incluye demarcacion en Amarillo",,,,46,35,8,M2,,
002523,,,A.3,3,PINTURA EPOXICA TRAFICO AMARILLO,,,0.032626427406199,0.032626427406199,,,galon,54.72,
002529,,,A.3,3,PINTURA EPOXICA TRAFICO GRIS CEMENTO,,,0.106035889070147,0.106035889070147,,,galon,55,
003220,,,A.3,3,"TIRRO DE PAPEL 2""",,,9.78792822185971E-02,9.78792822185971E-02,,,Pza,3.8137,
015246,,,A.3,4,AYUDANTE ESPECIALIZADO,,,2,0.457142857142857,,,Horas,1.19125,9.53
002479,,,A.3,4,PINTOR DE 1a,,,1,0.228571428571429,,,Horas,1.56875,12.55
003014,,,A.3,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.114285714285714,,,Horas,2.49625,19.97
000767,,,A.3,4,CAPATAZ,,,1,0.228571428571429,,,Horas,2.2075,17.66
004552,,,A.3,5,COMPRESOR DE AIRE- ELECTRICO,,,1,0.228571428571429,,,Horas,0.75,6
004558,,,A.3,5,EQUIPO DE PINTURA ESTÁNDAR BAJA-PISTOLA DE CARGA POR SU,,,1,0.228571428571429,,,Horas,0.75,6
A.4,,,A,2,Pintura Impermeabilizante en paredes Exteriores.,,,,43.4,30,8,M2,,
001820,,,A.4,3,IMPERMEABILIZANTE ELASTOMERICO P/TECHOS MANTO FLEX (CTE,,,2.30414746543779E-02,2.30414746543779E-02,,,Cuñete,81.0496,
002842,,,A.4,3,"RODILLO 9 PLG ANTIGOTEO, MANGO CON FUNDA PARA PINTURA D",,,4.60829493087558E-02,4.60829493087558E-02,,,Pza,4.1055,
015246,,,A.4,4,AYUDANTE ESPECIALIZADO,,,2,0.533333333333333,,,Horas,1.19125,9.53
002479,,,A.4,4,PINTOR DE 1a,,,1,0.266666666666667,,,Horas,1.56875,12.55
003014,,,A.4,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.133333333333333,,,Horas,2.49625,19.97
000767,,,A.4,4,CAPATAZ,,,1,0.266666666666667,,,Horas,2.2075,17.66
004736,,,A.4,5,CARRETILLA DE ALBAÑILERIA,,,1,0.266666666666667,,,Horas,0.15625,1.25
008138,,,A.4,5,TOBO DE ALBAÑILERIA,,,1,0.266666666666667,,,Horas,0.01875,0.15
A.5,,,A,2,Resanteo de Losa de techo para corregir pendientes. Incluye retirar Manto existente,,,,46,30,8,M2,,
000821,,,A.5,3,"CEMENTO GRIS (SACO DE 42,5 kg)",,,0.326086956521739,0.326086956521739,,,Saco,12,
001765,,,A.5,3,GUANTE DE HILO CON PVC (PAR),,,0.2,0.2,,,Par,0.3781,
007865,,,A.5,3,ARENA LAVADA M3,,,6.52173913043478E-02,6.52173913043478E-02,,,M3,35,
015246,,,A.5,4,AYUDANTE ESPECIALIZADO,,,2,0.533333333333333,,,Horas,1.19125,9.53
015246,,,A.5,4,AYUDANTE ESPECIALIZADO,,,5,1.33333333333333,,,Horas,1.19125,9.53
000125,,,A.5,4,ALBAÑIL DE 1a,,,1,0.266666666666667,,,Horas,1.56875,12.55
000125,,,A.5,4,ALBAÑIL DE 1a,,,2,0.533333333333333,,,Horas,1.56875,12.55
003014,,,A.5,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.133333333333333,,,Horas,2.49625,19.97
000767,,,A.5,4,CAPATAZ,,,1,0.266666666666667,,,Horas,2.2075,17.66
002998,,,A.5,4,SOLDADOR DE 1ERA,,,1,0.266666666666667,,,Horas,1.56875,12.55
004729,,,A.5,5,FORMALETAS PARA ANDAMIO,,,2,0.533333333333333,,,Horas,0.0625,0.5
008259,,,A.5,5,MANGUERA DE NIVEL 1/2,,,1,0.266666666666667,,,Horas,0.0625,0.5
004741,,,A.5,5,PALA RECTANGULAR ALBAÑILERIA,,,2,0.533333333333333,,,Horas,0.11625,0.93
004736,,,A.5,5,CARRETILLA DE ALBAÑILERIA,,,1,0.266666666666667,,,Horas,0.15625,1.25
008479,,,A.5,5,CEPILLO DE ALBAÑILERIA,,,1,0.266666666666667,,,Horas,0.0625,0.5
008138,,,A.5,5,TOBO DE ALBAÑILERIA,,,3,0.8,,,Horas,0.01875,0.15
004728,,,A.5,5,TROMPO MEZCLADOR DE CONCRETO,,,1,0.266666666666667,,,Horas,4.375,35
004757,,,A.5,5,CUERPO DE ANDAMIO,,,2,0.533333333333333,,,Horas,0.1875,1.5
A.6,,,A,2,"Impermeabilizacion en Losa de techo, con manto de 3,2 mm, Incluye aplicación de primer",,,,46,45,8,M2,,
008193,,,A.6,3,CEMENTO PLASTICO,,,2.17391304347826E-02,2.17391304347826E-02,,,galon,14.8769,
001765,,,A.6,3,GUANTE DE HILO CON PVC (PAR),,,0.2,0.2,,,Par,0.3781,
002161,,,A.6,3,MANTO ASFALTICO 3.2MM,,,0.108695652173913,0.108695652173913,,,Rollo,52,
002485,,,A.6,3,PINTURA ALUMINIO P/TECHO,,,4.34782608695652E-02,4.34782608695652E-02,,,galon,24.2038,
002639,,,A.6,3,PRIMER ASFALTICO IMPERMEABILIZANTE,,,4.34782608695652E-02,4.34782608695652E-02,,,galon,12.24,
002842,,,A.6,3,"RODILLO 9 PLG ANTIGOTEO, MANGO CON FUNDA PARA PINTURA D",,,0.108695652173913,0.108695652173913,,,Pza,4.1055,
000546,,,A.6,3,"BROCHA 4"" MATERIAL MANGO PLASTICO CERDA NATURAL",,,4.34782608695652E-02,4.34782608695652E-02,,,Pza,1.9799,
015246,,,A.6,4,AYUDANTE ESPECIALIZADO,,,3,0.533333333333333,,,Horas,1.19125,9.53
003014,,,A.6,4,SUPERVISOR DE SEGURIDAD,,,0.5,8.88888888888889E-02,,,Horas,2.49625,19.97
000767,,,A.6,4,CAPATAZ,,,1,0.177777777777778,,,Horas,2.2075,17.66
003099,,,A.6,4,TECHERO,,,1,0.177777777777778,,,Horas,1.56875,12.55
008194,,,A.6,5,ANTORCHA DE SOPLETE PARA CALENTAMIENTO,,,1,0.177777777777778,,,Horas,0.125,1
A.7,,,A,2,Construccion de Gotero con Lamina de Hierro Galvanizado Cal 14 de ancho 30 cms.,,,,15.5,15.5,8,ML,,
001765,,,A.7,3,GUANTE DE HILO CON PVC (PAR),,,0.2,0.2,,,Par,0.3781,
001953,,,A.7,3,"LAMINA AG GALVANIZADA LISA ANCHO 1,2 M ESP 1,2 MM CAL 1",,,0.129032258064516,0.129032258064516,,,Pza,50.4425,
002781,,,A.7,3,REMACHE 5/32 X 3/4 PLG,,,10,10,,,Unidades,0.06,
015246,,,A.7,4,AYUDANTE ESPECIALIZADO,,,2,1.03225806451613,,,Horas,1.19125,9.53
000125,,,A.7,4,ALBAÑIL DE 1a,,,1,0.516129032258065,,,Horas,1.56875,12.55
003014,,,A.7,4,SUPERVISOR DE SEGURIDAD,,,0.5,0.258064516129032,,,Horas,2.49625,19.97
000767,,,A.7,4,CAPATAZ,,,1,0.516129032258065,,,Horas,2.2075,17.66
004741,,,A.7,5,PALA RECTANGULAR ALBAÑILERIA,,,1,0.516129032258065,,,Horas,0.11625,0.93
014413,,,A.7,5,REMACHADORA MANUAL,,,1,0.516129032258065,,,Horas,0.0625,0.5
004736,,,A.7,5,CARRETILLA DE ALBAÑILERIA,,,1,0.516129032258065,,,Horas,0.15625,1.25
A.8,,,A,2,Suministro y Colocacion de A/C tipo Split de 5 Tn,,,,1,0.25,8,UNIDAD,,
014869,,,A.8,3,AIRE ACONDICIONADO CAPACIDAD 5 TON TIPO SPLIT PARA TECH,,,1,1,,,Pza,2600,
001043,,,A.8,3,CODO 90° PVC PAVCO X 1/2 PLG A/F ALTA PRESION,,,1,1,,,Pza,0.4813,
001276,,,A.8,3,DESENGRASANTE (LTS),,,1.5,1.5,,,L,0.525,
001299,,,A.8,3,"DISCO DE CORTE D EXT 4 1/2"" ESP 1/8""",,,6,6,,,Pza,1.1513,
001310,,,A.8,3,DISCO DE CORTE PARA TRONZADORA DIAMETRO 14 PLG,,,0.75,0.75,,,Pza,5.6516,
001312,,,A.8,3,"DISCO DE DESBASTE DIAMETRO 4 1/2"" EJE 1/4"" ESP 7/8""",,,3.75,3.75,,,Pza,3.4189,
000153,,,A.8,3,ANGULO AC SECCION L  ALTURA 65 MM ESP 5 MM LONG 6 M MAT,,,7,7,,,Pza,71.5,
001357,,,A.8,3,ELECTRODO E 6013 ARCO ELEC PARA AC DIAM 3/32 X L 350 MM,,,11.25,11.25,,,kg,3.2817,
000190,,,A.8,3,"ANILLO LISO PVC PAVCO 1/2"" A/F ALTA PRESION",,,1,1,,,Pza,0.7429,
001769,,,A.8,3,GUANTE DE NITRILLO LARGO (PAR),,,3,3,,,Unidades,1.6848,
001844,,,A.8,3,JABON EN POLVO (kg),,,1.5,1.5,,,kg,11.7074,
002212,,,A.8,3,MASCARILLA KN 95,,,3,3,,,Pza,0.219,
014719,,,A.8,3,"MECHA CILINDRICA H.S.S PARA ACERO 5/16""",,,3,3,,,Pza,16,
002246,,,A.8,3,"MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO 3/8""",,,3,3,,,Pza,5.0499,
002251,,,A.8,3,"MECHA CILINDRICA H.S.S PARA ACERO DIAMETRO HSS 1/2""",,,3,3,,,Pza,6.95,
