"code","group","sub_group","parent","type","name","url","provider","available","quantity","performance","hours_day","uom_id","price","day_price"
"33",,,,1,"INSTALACION DE UN (01) TRANSFORMADOR DE 75 KVA EN LA CASETA",,,,,,,,,
"33.1",,,33,2,"SUMINISTRO E INSTALACION DE UN (01) TRANSFORMADOR DE 75 KVA PARA CUARTO DE CONTROL DE MOLINOS.",,,,1,1,8,"PZA",,
"015957",,,"33.1",3,"ANCLAJE DE EXPANSION 5/8"" x 8"" TIPO HILTI",,,8,8,,,"Pza",4,
"001276",,,"33.1",3,"DESENGRASANTE (LTS)",,,2,2,,,"L",525,
"001299",,,"33.1",3,"DISCO DE CORTE D EXT 4 1/2"" ESP 1/8""",,,5,5,,,"Pza","1.1513",
"001312",,,"33.1",3,"DISCO DE DESBASTE DIAMETRO 4 1/2"" EJE 1/4"" ESP 7/8""",,,2,2,,,"Pza","3.4189",
"000155",,,"33.1",3,"ANGULO AC SECCION L  ALTURA 75 MM ESP 6 MM LONG 6 M MAT",,,2,2,,,"Pza","51.92",
"001357",,,"33.1",3,"ELECTRODO E 6013 ARCO ELEC PARA AC DIAM 3/32 X L 350 MM",,,10,10,,,"kg","3.2817",
"001769",,,"33.1",3,"GUANTE DE NITRILLO LARGO (PAR)",,,4,4,,,"Unidades","1.6848",
"001844",,,"33.1",3,"JABON EN POLVO (kg)",,,2,2,,,"kg","11.7074",
"002212",,,"33.1",3,"MASCARILLA KN 95",,,4,4,,,"Pza",219,
"003197",,,"33.1",3,"THINNER ACRILICO",,,4,4,,,"galon","11.9233",
"003229",,,"33.1",3,"TOBO PLASTICO POPULAR",,,2,2,,,"Pza","1.75",
"003546",,,"33.1",3,"TRAPOS DE LIMPIEZA ( SACO)",,,"0.25","0.25",,,"Saco","30.0265",
"000544",,,"33.1",3,"BROCHA 2"" MATERIAL MANGO PLASTICO CERDA NATURAL",,,4,4,,,"Pza","0.8003",
"001336",,,"33.1",4,"ELECTRICISTA DE 1a",,,2,16,,,"Horas","1.54","12.32"
"000767",,,"33.1",4,"CAPATAZ",,,1,8,,,"Horas","1.54","12.32"
"015246",,,"33.1",4,"ELECTRICISTA DE II",,,2,16,,,"Horas","1.5",12
"004570",,,"33.1",5,"EXTENSION ELECTRICA-ESTANDAR",,,2,16,,,"Horas","0.17125","1.37"
"014223",,,"33.1",5,"GRILLETE 1.1/8' 9.1/2 TON G2130",,,4,32,,,"Horas",125,1
"014761",,,"33.1",5,"GUAYA DE 3/4"" X 1.5 MTS",,,4,32,,,"Horas","0.0625","0.5"
"004754",,,"33.1",5,"GUAYA PASA CABLE (ELECTRICISTA)",,,1,8,,,"Horas","0.1","0.8"
"008264",,,"33.1",5,"JUEGO DE DADOS CUD 1/2 PULG 13 PZA",,,1,8,,,"Horas","0.25",2
"004535",,,"33.1",5,"ARNES DE SEGURIDAD CON ESLINGA-CORPORAL",,,2,16,,,"Horas","0.5",4
"008481",,,"33.1",5,"JUEGO DE TARRAJA 1/2' A 1'",,,1,8,,,"Horas","0.25",2
"015788",,,"33.1",5,"JUEGO LLAVES COMBINADA COMBO MM/PULG 20PZA",,,1,8,,,"Horas",125,1
"004747",,,"33.1",5,"KIT DE HERRAMIENTAS ELECTRICIDAD",,,1,8,,,"Horas","0.6875","5.5"
"008041",,,"33.1",5,"LLAVE PARA TUBO 14 PULG",,,2,16,,,"Horas","0.03125","0.25"
"008044",,,"33.1",5,"LLAVE PARA TUBO 36 PULG",,,2,16,,,"Horas","0.0875","0.7"
"004614",,,"33.1",5,"MEGER-UT500",,,1,8,,,"Horas",1875,15
"004632",,,"33.1",5,"PINZA AMPERIMETRICA-UT200",,,2,16,,,"Horas",625,5
"013614",,,"33.1",5,"PRENSA BASE TRIPODE PARA TUBERIA",,,1,8,,,"Horas","0.45875","3.67"
"011943",,,"33.1",5,"PRENSA TERMINAL HIDRAULICO (CRIMPADORA)",,,1,8,,,"Horas",1,8
"008133",,,"33.1",5,"ROSCADORA RIGID MOD 535",,,1,8,,,"Horas",1875,15
"004602",,,"33.1",5,"SOLDADORA ELECTRICA-CD/DC 250",,,"0.5",4,,,"Horas",5125,41
"004674",,,"33.1",5,"TALADRO ROTO MARTILLO-TE-76ATC",,,"0.5",4,,,"Horas","3.90625","31.25"
"004670",,,"33.1",5,"TALADRO-",,,1,8,,,"Horas","0.1975","1.58"
"004679",,,"33.1",5,"TORQUIMETRO -6014C",,,1,8,,,"Horas",375,3
"004680",,,"33.1",5,"TRONZADORA -TRONZADORA 14'",,,1,8,,,"Horas","0.5",4
"013820",,,"33.1",5,"CIZALLA MANUAL 24""",,,1,8,,,"Horas",125,1
"DH-JMT",,,"33.1",5,"DOBLADORA HIDRÁULICA JMT",,,"0.1","0.8",,,"Horas","3.90625","31.25"
"004755",,,"33.1",5,"ESCALERA TIPO TIJERA",,,2,16,,,"Horas","0.5",4
"013851",,,"33.1",5,"ESLINGA DE CARGA 3' X 6M NILON",,,1,8,,,"Horas","0.25",2
"004561",,,"33.1",5,"ESMERIL  4.1/2´´-VARIOS",,,1,8,,,"Horas","0.34375","2.75"
"33.2",,,33,2,"SUMINISTRO E INSTALACION DE QUINCE (15) MTS DE CABLEADO 1/0, CONEXIÓN DE TRANSFORMADOR 75 KVA EN BORNES",,,,15,36,8,"ML",,
"001765",,,"33.2",3,"GUANTE DE HILO CON PVC (PAR)",,,"0.333333333333333","0.333333333333333",,,"Par","0.3781",
"002212",,,"33.2",3,"MASCARILLA KN 95",,,"0.333333333333333","0.333333333333333",,,"Pza",219,
"001336",,,"33.2",4,"ELECTRICISTA DE 1a",,,2,"0.444444444444444",,,"Horas","1.54","12.32"
"000767",,,"33.2",4,"CAPATAZ",,,1,"0.222222222222222",,,"Horas","1.54","12.32"
"015246",,,"33.2",4,"ELECTRICISTA DE II",,,2,"0.444444444444444",,,"Horas","1.5",12
"008266",,,"33.2",5,"JUEGO DE DADOS CUD 1/2 PULG 23 PZA",,,1,"0.222222222222222",,,"Horas","0.25",2
"015788",,,"33.2",5,"JUEGO LLAVES COMBINADA COMBO MM/PULG 20PZA",,,1,"0.222222222222222",,,"Horas",125,1
"004747",,,"33.2",5,"KIT DE HERRAMIENTAS ELECTRICIDAD",,,1,"0.222222222222222",,,"Horas","0.6875","5.5"
"004614",,,"33.2",5,"MEGER-UT500",,,1,"0.222222222222222",,,"Horas",1875,15
"004632",,,"33.2",5,"PINZA AMPERIMETRICA-UT200",,,1,"0.222222222222222",,,"Horas",625,5
"33.3",,,33,2,"SUMINISTRO E INSTALACION DE UN (01) BREAKERS TERMOMAGNETICO 3 POLOS 480/600 V 65 KA ICC CAP 160 A PARA INTERRUPTOR PRINCIPAL 460 VAC DEL TRANSFORMADOR 75 KVA ",,,,1,1,8,"PZA",,
"001765",,,"33.3",3,"GUANTE DE HILO CON PVC (PAR)",,,4,4,,,"Par","0.3781",
"002212",,,"33.3",3,"MASCARILLA KN 95",,,4,4,,,"Pza",219,
"001336",,,"33.3",4,"ELECTRICISTA DE 1a",,,1,8,,,"Horas","1.54","12.32"
"000767",,,"33.3",4,"CAPATAZ",,,1,8,,,"Horas","1.54","12.32"
"015246",,,"33.3",4,"ELECTRICISTA DE II",,,2,16,,,"Horas","1.5",12
"008266",,,"33.3",5,"JUEGO DE DADOS CUD 1/2 PULG 23 PZA",,,1,8,,,"Horas","0.25",2
"015788",,,"33.3",5,"JUEGO LLAVES COMBINADA COMBO MM/PULG 20PZA",,,1,8,,,"Horas",125,1
"004747",,,"33.3",5,"KIT DE HERRAMIENTAS ELECTRICIDAD",,,1,8,,,"Horas","0.6875","5.5"
"004614",,,"33.3",5,"MEGER-UT500",,,1,8,,,"Horas",1875,15
