code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
1,,,,1,TABULADOR PARTIDAS MECÁNICAS TACA-CAPCA (Marzo 2024 - Rev0),,,,,,,,,,
1.1,,,1,2,Corte y Desmontaje en Sitio de Estructuras Metalicas en Acero al Carbono.,,,,1.0,427.44,8,kg,,,
002575,,,1.1,4,PLANIFICADOR,,,0.13,0.002433,,,Dias,2.4963,19.97,
003014,,,1.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.004679,,,Dias,2.4963,19.97,
000767,,,1.1,4,CAPATAZ,,,0.5,0.009358,,,Dias,2.2075,17.66,
001532,,,1.1,4,FABRICADOR,,,1.0,0.018716,,,Dias,1.6425,13.14,
000307,,,1.1,4,AYUDANTE,,,2.0,0.037432,,,Dias,1.1913,9.53,
004557,,,1.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1.0,0.018716,,,Unidades,0.995,7.96,
007981,,,1.1,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1.0,0.018716,,,Unidades,0.325,2.6,
004538,,,1.1,5,SEÑORITA-CADENA 3TON,,,1.0,0.018716,,,Unidades,0.5163,4.13,
004761,,,1.1,5,KIT DE GRILLETES PARA IZAJE,,,2.0,0.037432,,,Unidades,0.0313,0.25,
004817,,,1.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,5.0,0.09358,,,Unidades,0.25,2.0,
1.2,,,1,2,Corte y Preparacion de Estructuras Metálicas Nuevas en Acero al Carbono (En Campo).,,,,1.0,470.0,8,kg,,,
002575,,,1.2,4,PLANIFICADOR,,,0.13,0.002213,,,Dias,2.4963,19.97,
003014,,,1.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.004255,,,Dias,2.4963,19.97,
000767,,,1.2,4,CAPATAZ,,,0.5,0.008511,,,Dias,2.2075,17.66,
001532,,,1.2,4,FABRICADOR,,,1.0,0.017021,,,Dias,1.6425,13.14,
000307,,,1.2,4,AYUDANTE,,,1.0,0.017021,,,Dias,1.1913,9.53,
004557,,,1.2,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1.0,0.017021,,,Unidades,0.995,7.96,
007981,,,1.2,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1.0,0.017021,,,Unidades,0.325,2.6,
004544,,,1.2,5,CARETA FACIAL-ESTANDAR,,,1.0,0.017021,,,Unidades,0.125,1.0,
004570,,,1.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.017021,,,Unidades,0.1713,1.37,
