code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
A,,,,1,BANDA DE AZUCAR,,,,,,,,,
A.1,,,A,2,DESMONTAJE DE ELECTROIMANES EXISTENTE,,,,2,0.25,8,UNIDAD,,
001298,,,A.1,3,DISCO DE CORTE 7 PLG EXTRAFINO  ACERO,,,5,5,,,Pza,1.6496,
001329,,,A.1,3,DISCO DESBASTE DIAMETRO 7 PULGADAS METAL,,,2.5,2.5,,,Pza,3.4724,
001353,,,A.1,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 1/8 X L 350 MM,,,2.5,2.5,,,kg,4.0751,
001358,,,A.1,3,ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 1/8 X L 350 MM ,,,2.5,2.5,,,kg,4.0267,
001681,,,A.1,3,FONDO ANTICORROSIVO GRIS,,,0.5,0.5,,,galon,39.9432,
003197,,,A.1,3,THINNER ACRILICO,,,1.75,1.75,,,galon,11.9233,
003310,,,A.1,3,TORNILLO AUTOTALADRANTE DE 1 1/4 X 1 1/2,,,30,30,,,Pza,0.4343,
001532,,,A.1,4,FABRICADOR 1RA,,,1,32,,,Horas,1.6425,13.14
015246,,,A.1,4,AYUDANTE ESPECIALIZADO,,,2,64,,,Horas,1.19125,9.53
003014,,,A.1,4,SUPERVISOR DE SEGURIDAD,,,0.5,16,,,Horas,2.49625,19.97
000767,,,A.1,4,CAPATAZ,,,0.5,16,,,Horas,2.2075,17.66
002998,,,A.1,4,SOLDADOR DE 1ERA,,,1,32,,,Horas,1.56875,12.55
004528,,,A.1,5,ABRAZADERA PARA ANDAMIO TUBULAR,,,15,480,,,Horas,0.0625,0.5
004570,,,A.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,32,,,Horas,0.17125,1.37
004532,,,A.1,5,ANDAMIOS TUBULARES-TUBO ESTANDAR ML,,,40,1280,,,Horas,0.1125,0.9
004817,,,A.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,32,,,Horas,0.25,2
004746,,,A.1,5,KIT DE HERRAMIENTAS MENORES,,,0,0,,,Horas,0.2625,2.1
004731,,,A.1,5,MANDARRIA 2KG,,,1,32,,,Horas,0.03125,0.25
004544,,,A.1,5,CARETA FACIAL-ESTANDAR,,,1,32,,,Horas,0.125,1
004650,,,A.1,5,SEÑORITA-CADENA 10TON,,,1,32,,,Horas,1.7375,13.9
004654,,,A.1,5,SEÑORITA-RATCHET 3TON,,,1,32,,,Horas,0.5375,4.3
004660,,,A.1,5,SOLDADORA ELECTRICA-DIALARC 250,,,0.5,16,,,Horas,5.125,41
004557,,,A.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,0.5,16,,,Horas,0.995,7.96
004562,,,A.1,5,ESMERIL 7´´-VARIOS,,,1,32,,,Horas,0.51125,4.09
A.2,,,A,2,"DESMONTAJE DE SINFÍN (6.0 M) INCLUYE DESMONTAJE DE BASES DE MOTOR, MOTOR, EJE DEL SINFÍN, ESTRUCTURA DE CANAL",,,,6,3,8,ML,,
001298,,,A.2,3,DISCO DE CORTE 7 PLG EXTRAFINO  ACERO,,,0.666666666666667,0.666666666666667,,,Pza,1.6496,
001329,,,A.2,3,DISCO DESBASTE DIAMETRO 7 PULGADAS METAL,,,0.333333333333333,0.333333333333333,,,Pza,3.4724,
001353,,,A.2,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 1/8 X L 350 MM,,,0.166666666666667,0.166666666666667,,,kg,4.0751,
001358,,,A.2,3,ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 1/8 X L 350 MM ,,,0.166666666666667,0.166666666666667,,,kg,4.0267,
001681,,,A.2,3,FONDO ANTICORROSIVO GRIS,,,0.166666666666667,0.166666666666667,,,galon,39.9432,
003197,,,A.2,3,THINNER ACRILICO,,,5.83333333333333E-02,5.83333333333333E-02,,,galon,11.9233,
001532,,,A.2,4,FABRICADOR 1RA,,,1,2.66666666666667,,,Horas,1.6425,13.14
015246,,,A.2,4,AYUDANTE ESPECIALIZADO,,,2,5.33333333333333,,,Horas,1.19125,9.53
003014,,,A.2,4,SUPERVISOR DE SEGURIDAD,,,0.5,1.33333333333333,,,Horas,2.49625,19.97
000767,,,A.2,4,CAPATAZ,,,0.5,1.33333333333333,,,Horas,2.2075,17.66
002998,,,A.2,4,SOLDADOR DE 1ERA,,,1,2.66666666666667,,,Horas,1.56875,12.55
002217,,,A.2,4,MECANICO 1RA,,,1,2.66666666666667,,,Horas,1.6425,13.14
004570,,,A.2,5,EXTENSION ELECTRICA-ESTANDAR,,,2,5.33333333333333,,,Horas,0.17125,1.37
004817,,,A.2,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1,2.66666666666667,,,Horas,0.25,2
004731,,,A.2,5,MANDARRIA 2KG,,,1,2.66666666666667,,,Horas,0.03125,0.25
004544,,,A.2,5,CARETA FACIAL-ESTANDAR,,,1,2.66666666666667,,,Horas,0.125,1
004651,,,A.2,5,SEÑORITA-CADENA 2TON,,,1,2.66666666666667,,,Horas,0.425,3.4
004654,,,A.2,5,SEÑORITA-RATCHET 3TON,,,1,2.66666666666667,,,Horas,0.5375,4.3
004660,,,A.2,5,SOLDADORA ELECTRICA-DIALARC 250,,,1,2.66666666666667,,,Horas,5.125,41
004557,,,A.2,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,2.66666666666667,,,Horas,0.995,7.96
004562,,,A.2,5,ESMERIL 7´´-VARIOS,,,1,2.66666666666667,,,Horas,0.51125,4.09
A.3,,,A,2,DESMONTAJE DE DUCTO DE LA TOLVA DENTRO DE LA BANDA DE CRUDO PARA UBICACION DE ELECTROIMAN. INCLUYE REFUERZO EN ANGULO DE 35X4 MM. (8.60 M.)  EN EL PERIMETRO DEL DUCTO.(LOS DOS EXTREMOS),,,,1,1,8,UNIDAD,,
001298,,,A.3,3,DISCO DE CORTE 7 PLG EXTRAFINO  ACERO,,,4,4,,,Pza,1.6496,
001299,,,A.3,3,"DISCO DE CORTE D EXT 4 1/2"" ESP 1/8""",,,4,4,,,Pza,1.1513,
001312,,,A.3,3,"DISCO DE DESBASTE DIAMETRO 4 1/2"" EJE 1/4"" ESP 7/8""",,,3,3,,,Pza,3.4189,
001329,,,A.3,3,DISCO DESBASTE DIAMETRO 7 PULGADAS METAL,,,3,3,,,Pza,3.4724,
001353,,,A.3,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 1/8 X L 350 MM,,,2,2,,,kg,4.0751,
001358,,,A.3,3,ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 1/8 X L 350 MM ,,,2,2,,,kg,4.0267,
014757,,,A.3,3,ANGULO AC SECCION L AL 40 MM ESP 4 MM LONG 6 M A36,,,2,2,,,Pza,30,
001681,,,A.3,3,FONDO ANTICORROSIVO GRIS,,,0.5,0.5,,,galon,39.9432,
002550,,,A.3,3,PINTURA ESMALTE MARFIL SUAVE CREMA AZUCARERO,,,0.5,0.5,,,galon,36.5124,
003197,,,A.3,3,THINNER ACRILICO,,,0.35,0.35,,,galon,11.9233,
001532,,,A.3,4,FABRICADOR 1RA,,,1,8,,,Horas,1.6425,13.14
015246,,,A.3,4,AYUDANTE ESPECIALIZADO,,,2,16,,,Horas,1.19125,9.53
003014,,,A.3,4,SUPERVISOR DE SEGURIDAD,,,0.5,4,,,Horas,2.49625,19.97
000767,,,A.3,4,CAPATAZ,,,0.5,4,,,Horas,2.2075,17.66
002998,,,A.3,4,SOLDADOR DE 1ERA,,,1,8,,,Horas,1.56875,12.55
004528,,,A.3,5,ABRAZADERA PARA ANDAMIO TUBULAR,,,40,320,,,Horas,0.0625,0.5
004570,,,A.3,5,EXTENSION ELECTRICA-ESTANDAR,,,2,16,,,Horas,0.17125,1.37
004532,,,A.3,5,ANDAMIOS TUBULARES-TUBO ESTANDAR ML,,,90,720,,,Horas,0.1125,0.9
