code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
2.1,,,,1,DESMONTAJE Y ADECUACION DE SISTEMAS DE BOMBEO DE MIEL 3ERA,,,,,,,,,
2.1.1,,,2.1,2,DESMONTAJE DE ESTRUCTURA SITUADA EN LA PARTE SUPERIOR DEL TANQUE DE MIEL TERCERA.,,,,207,405,8,KG,,
011550,,,2.1.1,3,CILINDRO DE OXIGENO OXIROGA (CIL),,,3.3816425120773E-03,3.3816425120773E-03,,,CIL,37.2873,
001298,,,2.1.1,3,DISCO DE CORTE 7 PLG EXTRAFINO  ACERO,,,9.6618357487923E-03,9.6618357487923E-03,,,Pza,1.6496,
001714,,,2.1.1,3,GAS PROPANO (RECARGA),,,2.17391304347826E-02,2.17391304347826E-02,,,kg,0.5,
014435,,,2.1.1,3,MECATE DE 5/8 MATERIAL POLIPROPILENO (PRESENTACION EN M,,,4.83091787439614E-02,4.83091787439614E-02,,,m,0.85,
001532,,,2.1.1,4,FABRICADOR 1RA,,,1,1.97530864197531E-02,,,Horas,1.6425,13.14
000307,,,2.1.1,4,AYUDANTE,,,2,3.95061728395062E-02,,,Horas,1.19125,9.53
003014,,,2.1.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,4.93827160493827E-03,,,Horas,2.49625,19.97
000767,,,2.1.1,4,CAPATAZ,,,1,1.97530864197531E-02,,,Horas,2.2075,17.66
004570,,,2.1.1,5,EXTENSION ELECTRICA-ESTANDAR,,,1,1.97530864197531E-02,,,Horas,0.17125,1.37
004731,,,2.1.1,5,MANDARRIA 2KG,,,1,1.97530864197531E-02,,,Horas,0.03125,0.25
004651,,,2.1.1,5,SEÑORITA-CADENA 2TON,,,1,1.97530864197531E-02,,,Horas,0.425,3.4
004557,,,2.1.1,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,1.97530864197531E-02,,,Horas,0.995,7.96
004562,,,2.1.1,5,ESMERIL 7´´-VARIOS,,,1,1.97530864197531E-02,,,Horas,0.51125,4.09
2.1.2,,,2.1,2,"REMOCION DEL TANQUE DE MIEL TERCERA FABRICADO EN LAMINA DE ACERO AL CARBONO DE 1/4"" DE ESPESOR.",,,,620,620,8,KG,,
011550,,,2.1.2,3,CILINDRO DE OXIGENO OXIROGA (CIL),,,1.6129032258065E-03,1.6129032258065E-03,,,CIL,37.2873,
001298,,,2.1.2,3,DISCO DE CORTE 7 PLG EXTRAFINO  ACERO,,,3.2258064516129E-03,3.2258064516129E-03,,,Pza,1.6496,
001329,,,2.1.2,3,DISCO DESBASTE DIAMETRO 7 PULGADAS METAL,,,4.8387096774194E-03,4.8387096774194E-03,,,Pza,3.4724,
001353,,,2.1.2,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 1/8 X L 350 MM,,,3.2258064516129E-03,3.2258064516129E-03,,,kg,4.0751,
001714,,,2.1.2,3,GAS PROPANO (RECARGA),,,1.45161290322581E-02,1.45161290322581E-02,,,kg,0.5,
003546,,,2.1.2,3,TRAPOS DE LIMPIEZA ( SACO),,,2.41935483870968E-04,2.41935483870968E-04,,,Saco,35,
001532,,,2.1.2,4,FABRICADOR 1RA,,,1,1.29032258064516E-02,,,Horas,1.6425,13.14
000307,,,2.1.2,4,AYUDANTE,,,3,3.87096774193548E-02,,,Horas,1.19125,9.53
003014,,,2.1.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,3.2258064516129E-03,,,Horas,2.49625,19.97
000767,,,2.1.2,4,CAPATAZ,,,1,1.29032258064516E-02,,,Horas,2.2075,17.66
002998,,,2.1.2,4,SOLDADOR DE 1ERA,,,1,1.29032258064516E-02,,,Horas,1.56875,12.55
004570,,,2.1.2,5,EXTENSION ELECTRICA-ESTANDAR,,,1,1.29032258064516E-02,,,Horas,0.17125,1.37
008030,,,2.1.2,5,GRILLETE DE CARGA 5/8 PULG,,,1,1.29032258064516E-02,,,Horas,0.025,0.2
001817,,,2.1.2,5,ILUMINACION 400W UNIVERSAL,,,1,1.29032258064516E-02,,,Horas,0.125,1
015788,,,2.1.2,5,JUEGO LLAVES COMBINADA COMBO MM/PULG 20PZA,,,1,1.29032258064516E-02,,,Horas,0.125,1
004731,,,2.1.2,5,MANDARRIA 2KG,,,1,1.29032258064516E-02,,,Horas,0.03125,0.25
008135,,,2.1.2,5,SEÑORITA DE CADENA 1 1/2 TON,,,1,1.29032258064516E-02,,,Horas,0.3125,2.5
