code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
A,,,,1,FABRICACIÓN DE MEZANINA EN EL ANILLO NUMERO 9 CON BARANDA Y PROYECCIÓN DE RETIRO DE 1 MTR,,,,,,,,,
A.3,,,A,2,FABRICACIÓN DE MEZANINA EN EL ANILLO NUMERO 9 CON BARANDA Y PROYECCIÓN DE RETIRO DE 1 MTR,,,,2893.4689,333,8,UNIDAD,,
000307,,,A.3,4,AYUDANTE,,,6,48.048048,,,Horas,1.3013,10.41
002998,,,A.3,4,SOLDADOR,,,3,24.024024,,,Horas,1.5,12
001532,,,A.3,4,FABRICADOR,,,3,24.024024,,,Horas,1.54,12.32
002479,,,A.3,4,PINTOR,,,3,24.024024,,,Horas,1.5,12
000767,,,A.3,4,CAPATAZ,,,3,24.024024,,,Horas,1.54,12.32
003014,,,A.3,4,SUPERVISOR DE SEGURIDAD,,,0.75,6.006006,,,Horas,2755,22.04
004660,,,A.3,5,SOLDADORA ELECTRICA-DIALARC 250,,,0.75,6.006006,,,Horas,5125,41
004562,,,A.3,5,ESMERIL 7´´-VARIOS,,,3,24.024024,,,Horas,0.5113,4.09
004746,,,A.3,5,KIT DE HERRAMIENTAS MENORES,,,3,24.024024,,,Horas,0.2625,2.1
004552,,,A.3,5,COMPRESOR DE AIRE- ELECTRICO,,,1.5,12.012012,,,Horas,0.75,6
004558,,,A.3,5,"EQUIPO DE PINTURA ESTÁNDAR BAJA-PISTOLA DE CARGA POR SUCCION O GRAVEDAD, MAS CALDERIN",,,1.5,12.012012,,,Horas,2,16
004557,,,A.3,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1.5,12.012012,,,Horas,995,7.96
007981,,,A.3,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,3,24.024024,,,Horas,325,2.6
014151,,,A.3,3,"TUBERIA PARA VENTILACION 2"" X 2 MM ESPESOR X 6 MTS LONGITUD A-36 ISO 65",,,3,3,,,Pza,41.9538,
001990,,,A.3,3,"LAMINA ESTRIADA AC RECTANGULAR ANCHO 1,2 M ESP 6 MM LON 2,4 M A36",,,3,3,,,Pza,230.98,
001353,,,A.3,3,ELECTRODO E 6010 ARCO ELECT PARA AC DIAM 1/8 X L 350 MM CC+ AWS 5.1,,,10,10,,,kg,4681,
001358,,,A.3,3,ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 1/8 X L 350 MM CA CC+ AWS 5.1,,,10,10,,,kg,4.8343,
000929,,,A.3,3,CILINDRO DE OXIGENO DIGASMAPOR,,,1,1,,,CIL,24.0888,
001714,,,A.3,3,GAS PROPANO (RECARGA),,,4.5,4.5,,,kg,376,
001329,,,A.3,3,"DISCO DESBASTE DIAMETRO 7 PULGADAS ACERO AL CARBONO EJE 1/4"" ESP 7/8""",,,5,5,,,Pza,3.4843,
001298,,,A.3,3,DISCO DE CORTE 7 PLG EXTRAFINO ACERO,,,5,5,,,Pza,1.9357,
000829,,,A.3,3,CEPILLO DE ALAMBRE TIPO COPA DIAMETRO 6 PLG,,,1,1,,,Pza,8.0692,
001320,,,A.3,3,"DISCO DE LIJA FLAP DIAMETRO 7"" GRANO 80 PARA ESMERIL",,,2,2,,,Pza,3.3304,
001681,,,A.3,3,FONDO ANTICORROSIVO GRIS,,,1,1,,,galon,39.0857,
002557,,,A.3,3,PINTURA VP ESMALTE ALQUIDICO INTERIOR-EXTERIOR AMARILLO CAT,,,1.5,1.5,,,galon,32.9882,
003197,,,A.3,3,THINNER ACRILICO,,,1,1,,,galon,12.1389,
000546,,,A.3,3,"BROCHA 4"" MATERIAL MANGO PLASTICO CERDA NATURAL",,,2,2,,,Pza,2.1569,
003546,,,A.3,3,TRAPOS DE LIMPIEZA ( SACO),,,0.1,0.1,,,Saco,32.9392,
003220,,,A.3,3,"TIRRO DE PAPEL 2""",,,1,1,,,Pza,3.9137,
002591,,,A.3,3,PLETINA AC RECTANGULAR ANCHO 2 PLG ESP 3/16 PLG LON 6 M ASTM A36,,,1,1,,,Pza,16.84,
016104,,,A.3,3,VIGA AC SECCION IPN ALT 240 MM ALA 106 MM LONG 12 M MATERIAL A36,,,0.25,0.25,,,Pza,1042.56,
