code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
3,,,,1,"LEVANTAMIENTO TOPOGRÁFICO DE 170 M2 PARA NIVELES DE DRENAJE DE SISTEMA DE RECOLECCIÓN Y DESCARGA DE AGUAS DE LLUVIA DE PATIO CENTRAL DE BATERÍA DE SILOS
DE ALMACENAMIENTO DE FRIJOL DE SOJA.INCLUYE; PLANIMETRIA, ALTIMETRIA, TOPOGRAFIA Y MODIFICADA.",,,,,,,,,
3.1,,,3,2,"LEVANTAMIENTO TOPOGRÁFICO EN AREA INDUSTRIAL PARA ESTUDIO DE DRENAJE. ZONA DE INTERÉS: PATIO INTERNO DE SILOS(PENDIENTE DE LOSAS, NIVELES DE FUNDACIONES, DRENAJES), TERRENOS Y TANQUILLAS HACIA CALLE ESTE, AREA TRIBUTARIA A SUMIDEROS DE REJAS EN ZONA DE RE",,,,1,1,8,UND,,
002951,,,3.1,3,LEVANTAMIENTO TOPOGRÁFICO PLANIALTIMÉTRICO EN ÁREA INDU,,,1,1,,,Unidades,950,
3.2,,,3,2,"PROYECTO DE INSTALACIONES SANITARIAS EN AREA INDUSTRIAL.
VERIFICACIÓN DE CAPACIDAD DE DESCARGA EN TUBERÍAS EXISTENTES ( DRENAJE VIAL, PATIO SILOS), DISEÑO DE RECOLECCIÓN DE AGUAS RESIDUALES (TANQUE SÉPTICO) .",,,,1,1,8,UND,,
002951,,,3.2,3,PROYECTO DE INSTALACIONES SANITARIAS EN AREA INDUSTRIAL,,,1,1,,,Unidades,600,
5,,,,1,"CORTE, DEMOLICIÓN, EXCAVACIÓN, RELLENO Y VACIADO DE 15,50 M DE LOSA DE PISO; PARA MODIFICACIÓN DE NIVELES DE TUBERÍA DE DESCARGA DE TANQUILLA DE REGISTRO DE RECOLECCIÓN DE AGUAS DE LLUVIA. 
INCLUYE SUMINISTRO Y COLOCACIÓN DE TUBERÍA PVC 8"". ANCHO 50 CM",,,,,,,,,
5.1,,,5,2,CORTE DE PAVIMENTO DE CONCRETO CON USO DE CORTADORA.,,,,14,56,8,ML,,
001300,,,5.1,3,DISCO DE CORTE DE CONCRETO DIAMANTADO DIAMETRO  14 PLG,,,7.14285714285714E-02,7.14285714285714E-02,,,Pza,29.9823,
001721,,,5.1,3,GASOLINA (LTS),,,0.357142857142857,0.357142857142857,,,L,0.5,
000307,,,5.1,4,AYUDANTE,,,1,0.142857142857143,,,Horas,1.19125,9.53
003014,,,5.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,3.57142857142857E-02,,,Horas,2.49625,19.97
000767,,,5.1,4,CAPATAZ,,,0.5,7.14285714285714E-02,,,Horas,2.2075,17.66
002343,,,5.1,4,OPERADOR ,,,1.5,0.214285714285714,,,Horas,1.6425,13.14
013405,,,5.1,5,CORTADORA DE CONCRETO MC 500,,,1,0.142857142857143,,,Horas,2.5,20
5.2,,,5,2,"DEMOLICIÓN DE ELEMENTOS DE CONCRETO CON EQUIPO PESADO.
INCLUYE TANQUILLA EXISTENTE Y LOSA",,,,2.1,2.1,8,M3,,
000307,,,5.2,4,AYUDANTE,,,4,15.2380959301038,,,Horas,1.19125,9.53
003014,,,5.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.95238099563149,,,Horas,2.49625,19.97
