code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
7,,,,1,"SUMINISTRO, TRANSPORTE Y COLOCACIÓN DE MORTERO IMPERMEABILIZANTE 1:2 EN 710M2 DE MUROS DE BATERÍAS DE SILOS DE ALMACENAMIENTO DE FRIJOL DE SOJA (CARA INTERNA) L=47 H=3,50m, SILOS 2-3-4-5-6",,,,,,,,,
7.1,,,7,2,"ESCARIFIACIÓN LIVIANA DE ELEMENTOS DE CONCRETO ARMADO A UNA PROFUNDIDAD MÁXIMA 1"". EN ZONAS DONDE HAYA EXPOSICIÓN DEL ACERO DE REFUERZO SE DEBERÁ PROFUNDIZAR 1"" POR DETRÁS DEL ACERO

SILOS 2, 3, 4, 5, 6",,,,120,12,8,M2,,
001302,,,7.1,3,DISCO DE CORTE DIAMANTADO SEGMENTADO CONCRETO DIAMETRO ,,,0.2,0.2,,,Pza,5.9833,
001303,,,7.1,3,DISCO DE CORTE DIAMANTADO SEGMENTADO DIAMETRO 7PLG ESP ,,,0.1,0.1,,,Pza,5.6,
001539,,,7.1,3,FILTRO 3M 2071 P-95 PARA MASCARA MEDIA CARA,,,6.66666666666667E-02,6.66666666666667E-02,,,Pza,8.49,
002210,,,7.1,3,MASCARILLA 3M MEDIA CARA MODELO 6200 TIPO RESPIRADOR,,,6.66666666666667E-02,6.66666666666667E-02,,,Pza,22.7692,
002475,,,7.1,3,PIEDRA PARA PULIR GRANITO #16  JUEGO DE 3,,,0.05,0.05,,,JUEGO,17.6,
002342,,,7.1,4,OBRERO DE PRIMERA,,,8,5.33333333333333,,,Horas,1.19125,9.53
003014,,,7.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.166666666666667,,,Horas,2.49625,19.97
000767,,,7.1,4,CAPATAZ,,,1,0.666666666666667,,,Horas,2.2075,17.66
004570,,,7.1,5,EXTENSION ELECTRICA-ESTANDAR,,,6,4,,,Horas,0.17125,1.37
015596,,,7.1,5,"EXTRACTOR DE ORUGA PORTATIL ALTA VELOC 12"" 750W 115 V",,,1,0.666666666666667,,,Horas,1.5,12
004729,,,7.1,5,FORMALETAS PARA ANDAMIO,,,8,5.33333333333333,,,Horas,0.0625,0.5
001817,,,7.1,5,ILUMINACION 400W UNIVERSAL,,,4,2.66666666666667,,,Horas,0.125,1
004674,,,7.1,5,TALADRO ROTO MARTILLO-TE-76ATC,,,4,2.66666666666667,,,Horas,3.90625,31.25
004757,,,7.1,5,CUERPO DE ANDAMIO,,,4,2.66666666666667,,,Horas,0.1875,1.5
7.2,,,7,2,"BOTE DE ESCOMBROS PRODUCTO DE LA DEMOLICIÓN. INCLUYE ACARREO DE ESCOMBROS DESDE LA PARTE INTERNA DEL SILO HASTA LA PARTE EXTERIOR.

SILOS 2, 3, 4, 5, 6",,,,3,1.2,8,M3,,
014435,,,7.2,3,MECATE DE 5/8 MATERIAL POLIPROPILENO (PRESENTACION EN M,,,16.6666666666667,16.6666666666667,,,m,0.85,
013403,,,7.2,3,SACO DE POLIPROPILENO 50 KGS,,,50,50,,,Pza,0.2895,
002920,,,7.2,3,SERVICIO DE VOLTEO 9M3,,,0.333333333,0.333333333,,,Viaje,150,
002342,,,7.2,4,OBRERO DE PRIMERA,,,8,53.3333312140572,,,Horas,1.19125,9.53
003014,,,7.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,1.66666660043929,,,Horas,2.49625,19.97
000767,,,7.2,4,CAPATAZ,,,1,6.66666640175715,,,Horas,2.2075,17.66
004729,,,7.2,5,FORMALETAS PARA ANDAMIO,,,4,26.6666656070286,,,Horas,0.0625,0.5
001817,,,7.2,5,ILUMINACION 400W UNIVERSAL,,,4,26.6666656070286,,,Horas,0.125,1
004741,,,7.2,5,PALA RECTANGULAR ALBAÑILERIA,,,6,39.9999984105429,,,Horas,0.11625,0.93
002603,,,7.2,5,"POLEA DE 8""",,,1,6.66666640175715,,,Horas,0.125,1
004757,,,7.2,5,CUERPO DE ANDAMIO,,,2,13.3333328035143,,,Horas,0.1875,1.5
7.3,,,7,2,"LIMPIEZA GENERAL DE SUPERFICIE (PAREDES) CON USO DE EQUIPO HIDROJET, HASTA UNA ALTURA DE 2.10M. INCLUYE REMOCIÓN Y ACARREO DE SEDIMENTOS HACIA LA PARTE EXTERIOR DEL SILO

SILOS 2, 3, 4, 5, 6",,,,462,92.4,8,M2,,
000841,,,7.3,3,CEPILLO PARA BARRER CERDA GRUESA,,,4.3290043290043E-03,4.3290043290043E-03,,,Pza,2.7644,
000842,,,7.3,3,CEPILLO PARA BARRER CERDA SUAVE,,,4.3290043290043E-03,4.3290043290043E-03,,,Pza,2.4434,
001276,,,7.3,3,DESENGRASANTE (LTS),,,8.65800865800866E-02,8.65800865800866E-02,,,L,0.525,
001721,,,7.3,3,GASOLINA (LTS),,,4.32900432900433E-02,4.32900432900433E-02,,,L,0.5,
001774,,,7.3,3,GUANTES DE NEOPRENO (PAR),,,1.73160173160173E-02,1.73160173160173E-02,,,Par,6.8192,
002077,,,7.3,3,LIMPIADOR LIMPOTEX (LTS),,,4.32900432900433E-02,4.32900432900433E-02,,,L,2.582,
003546,,,7.3,3,TRAPOS DE LIMPIEZA ( SACO),,,2.1645021645022E-03,2.1645021645022E-03,,,Saco,35,
000438,,,7.3,3,BOTA DE GOMA LARGA CON HIERRO TALLA 42 (PAR),,,8.6580086580087E-03,8.6580086580087E-03,,,Par,18.3914,
000485,,,7.3,3,BRAGA DESECHABLES COLOR BLANCO TALLA UNICA,,,8.6580086580087E-03,8.6580086580087E-03,,,Pza,49.5,
002342,,,7.3,4,OBRERO DE PRIMERA,,,8,0.692640681202535,,,Horas,1.19125,9.53
003014,,,7.3,4,SUPERVISOR DE SEGURIDAD,,,0.25,2.16450212875792E-02,,,Horas,2.49625,19.97
000767,,,7.3,4,CAPATAZ,,,1,8.65800851503168E-02,,,Horas,2.2075,17.66
004570,,,7.3,5,EXTENSION ELECTRICA-ESTANDAR,,,2,0.173160170300634,,,Horas,0.17125,1.37
004729,,,7.3,5,FORMALETAS PARA ANDAMIO,,,4,0.346320340601267,,,Horas,0.0625,0.5
013822,,,7.3,5,HIDROJET DE ALTA PRESION 1800W 110V,,,1,8.65800851503168E-02,,,Horas,0.25,2
001817,,,7.3,5,ILUMINACION 400W UNIVERSAL,,,4,0.346320340601267,,,Horas,0.125,1
008032,,,7.3,5,BOMBA DE ACHIQUE,,,1,8.65800851503168E-02,,,Horas,0.75,6
008260,,,7.3,5,MANGUERA TIPO CULEBRA 1/2,,,100,8.65800851503168,,,Horas,0.0625,0.5
004741,,,7.3,5,PALA RECTANGULAR ALBAÑILERIA,,,1,8.65800851503168E-02,,,Horas,0.11625,0.93
008138,,,7.3,5,TOBO DE ALBAÑILERIA,,,2,0.173160170300634,,,Horas,0.01875,0.15
004757,,,7.3,5,CUERPO DE ANDAMIO,,,2,0.173160170300634,,,Horas,0.1875,1.5
7.4,,,7,2,"LIMPIEZA Y APLICACIÓN DE RECUBRIMIENTO PARA PROTECCIÓN DEL ACERO DE REFUERZO EXPUESTO UTILIZANDO OXICOAT MC O SIMILAR. INCLUYE SUMINISTRO DEL MATERIAL

SILOS 2, 3, 4, 5, 6",,,,1,0.4,8,UNIDAD,,
000827,,,7.4,3,CEPILLO DE ALAMBRE MANGO DE MADERA,,,24,24,,,Pza,0.8458,
