code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
7,,,,2,Carpintería (GD),,,,1.0,0.4,8,Unidades,
23000020,,,7,3,[023000020] LISTON DE MADERA (MTS),,,1.0,25.0,,,m,5.0
21300066,,,7,3,[021300066] PUERTA CORREDIZA DE MADERA C/ IMPLEMENTOS DE FIJACION MANILLA,,,1.0,1.0,,,Unidades,153.09
22300009,,,7,3,[022300009] CLAVO P/MADERA 4 PLG ACERO AL CARBONO (KG),,,1.0,25.0,,,kg,3.0
%*m,,,7,6,Transporte,,,1.0,3.5309,,,,10.0
1,,,7,5,HERRAMIENTAS MENORES$,,,1.0,20.0,,,Unidades,2.07
2,,,7,5,Sierra para madera,,,1.0,20.0,,,Unidades,2.0
3,,,7,5,Martillo,,,1.0,20.0,,,Unidades,0.25
MO001,,,7,4,[MO001] CAPATAZ,,,1.0,20.0,,,Días,15.0
MO003,,,7,4,[MO003] AYUDANTE,,,2.0,40.0,,,Unidades,3.13
4,,,7,4,Carpintero,,,1.0,20.0,,,Unidades,5.0
6,,,,2,Climatización (GD),,,,1.0,0.2,8,Unidades,
11500101,,,6,3,[011500101] TEIPE SCOTH 13 3M,,,1.0,2.0,,,Unidades,5.0
80800006,,,6,3,[080800006] AIRE ACONDICIONADO CAP 18000 BTU TIPO SPLIT  220V,,,1.0,1.0,,,Unidades,631.6
1,,,6,5,HERRAMIENTAS MENORES$,,,1.0,40.0,,,Unidades,2.07
MO001,,,6,4,[MO001] CAPATAZ,,,1.0,40.0,,,Días,15.0
MO003,,,6,4,[MO003] AYUDANTE,,,3.0,120.0,,,Unidades,3.13
2,,,6,4,Electricista,,,1.0,40.0,,,Unidades,4.0
3,,,6,5,Escalera,,,2.0,80.0,,,Unidades,1.0
80800013,,,6,3,[080800013] PROTECTOR P/AIRE ACONDICIONADO 12000BTU/15 AMP 110V,,,1.0,1.0,,,Unidades,50.0
11500078,,,6,3,[011500078] TOMACORRIENTE TRIFASICO 220V-50A P/EMPOT,,,1.0,1.0,,,Unidades,10.0
5,,,,2,Fontanería (GD),,,,1.0,0.1,8,Unidades,
MO003,,,5,4,[MO003] AYUDANTE,,,3.0,240.0,,,Unidades,3.13
MO001,,,5,4,[MO001] CAPATAZ,,,1.0,80.0,,,Días,15.0
3,,,5,4,PLOMERO,,,1.0,80.0,,,Unidades,4.0
21900412,,,5,3,[021900412] TUBERIA PAVCO A/F  3/4 PLG X 3 MTS,,,1.0,100.0,,,Unidades,2.9
43500040,,,5,3,[043500040] PEGA TANGIT P/TUBERIA ALTA PRESION 240 ML,,,1.0,2.0,,,Unidades,16.6
1,,,5,5,HERRAMIENTAS MENORES$,,,1.0,80.0,,,Unidades,2.07
2,,,5,5,ROSCADORA,,,1.0,80.0,,,Unidades,3.0
4,,,,2,Electricidad (GD),,,,1.0,0.06,8,Unidades,
10700004,,,4,3,[010700004] TABLERO 45 X 58 X 13,,,1.0,1.0,,,Unidades,477.67
10700003,,,4,3,[010700003] CAJA DE PASO 10 X 10 X 6,,,1.0,4.0,,,Unidades,25.0
10700005,,,4,3,[010700005] TOMACORRIENTE DOBLE POLARIZ P/EMPOTRAR 110V CON TAPA,,,1.0,5.0,,,Unidades,5.0
10700007,,,4,3,[010700007] CONDULET LL 2 PLG (PZA),,,1.0,3.0,,,Unidades,12.0
11200001,,,4,3,[011200001] CABLE 600 VOLTS THW 10 AWG (MTS) COLOR NEGRO,,,1.0,300.0,,,m,1.0
1,,,4,5,HERRAMIENTAS MENORES$,,,1.0,133.3333,,,Unidades,2.07
2,,,4,4,Electricista,,,1.0,133.3333,,,Unidades,4.0
MO003,,,4,4,[MO003] AYUDANTE,,,3.0,400.0,,,Unidades,3.13
MO001,,,4,4,[MO001] CAPATAZ,,,1.0,133.3333,,,Días,15.0
3,,,,2,Acabados (GD),,,,1.0,0.05,8,m2,
1,,,3,5,PISTOLA PARA PINTAR,,,1.0,160.0,,,Días,15.0
2,,,3,4,PINTOR DE 1a,,,2.0,320.0,,,Días,4.0
MO003,,,3,4,[MO003] AYUDANTE,,,2.0,320.0,,,Unidades,3.13
MO001,,,3,4,[MO001] CAPATAZ,,,1.0,160.0,,,Días,15.0
40600018,,,3,3,[040600018] KIT DE BANDEJA CON RODILLO 9 PLG  PINTURA DE CAUCHO SUPERFICIE LISA,,,1.0,2.0,,,Unidades,5.0
3,,,3,3,pintura,,,1.0,6.0,,,Unidades,150.06
2,,,,2,Estructura (GD),,,,1.0,0.1,8,Unidades,
53900003,,,2,3,[053900003] TUBO ESTRUC AC SEC CUADRADA LADOS 200 MM ESP 7 MM L 6 M ASTM A 500,,,1.0,1326.2,,,Unidades,2.0
1,,,2,5,SOLDADORA MILLER SA-400,,,1.0,80.0,,,Unidades,6.25
2,,,2,5,"ESMERIL DE 7"" O 4 1/2""",,,2.0,160.0,,,Unidades,0.5
3,,,2,5,HERRAMIENTAS MENORES$,,,1.0,80.0,,,Unidades,2.07
4,,,2,5,ANDAMIO TIPO TIJERA,,,1.0,80.0,,,Unidades,2.0
5,,,2,4,AYUDANTE,,,5.0,400.0,,,Unidades,3.13
6,,,2,4,CAPATAZ,,,1.0,80.0,,,Días,15.0
7,,,2,4,ANDAMIERO,,,1.0,80.0,,,Días,3.0
43200003,,,2,3,[043200003] ELECTRODO E 6013 ARCO ELEC PARA AC DIAM 3/32 X L 350 MM CA CC- AWS 5.1,,,1.0,500.0,,,kg,5.0
43200005,,,2,3,[043200005] ELECTRODO E 7018 ARCO ELEC PARA AC DIAM 1/8 X L 350 MM CA CC+ AWS 5.1,,,1.0,250.0,,,kg,5.0
1,,,,2,Cimentacion (GD),,,,1.0,1.0,8,m3,
25200043,,,1,3,[025200043] CONCRETO PREMEZCLADO NORMAL RES 210 (M3),,,1.0,1.0,,,m3,4578.2
1,,,1,5,HERRAMIENTAS MENORES$,,,1.0,8.0,,,Horas,2.07
1,,,1,4,AYUDANTE,,,6.0,48.0,,,Horas,3.13
2,,,1,4,CAPATAZ,,,1.0,8.0,,,Horas,15.0
53700016,,,1,3,[053700016] CABILLA ESTRIADA AC REDONDA DIAMETRO 1/2 PLG LONG 6 M ASTM A 615 GR60,,,1.0,65.0,,,kg,1.0
53700021,,,1,3,[053700021] CABILLA ESTRIADA AC REDONDO DIAM 8.5 MM LONG 6 M COVENIN 845,,,1.0,70.0,,,kg,1.0
