code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
2.1,,,,2,Desmontaje de puertas frontales,,,,4,25,8,PZA,
141,,,2.1,4,FABRICADOR 1RA,,,1,0.32,,,Horas,1.4425
2,,,2.1,4,AYUDANTE,,,2,0.64,,,Horas,1.04625
501,,,2.1,4,PLANIFICADOR,,,0.13,4.15999984741211E-02,,,Horas,2.3325
502,,,2.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.08,,,Horas,2.3325
533,,,2.1,4,CAPATAZ,,,0.5,0.16,,,Horas,2.0625
1021,,,2.1,5,PATECLA ,,,1,0.32,,,PZA,0.0875
1043,,,2.1,5,GRILLETE ,,,2,0.64,,,PZA,0.03125
1086,,,2.1,5,MECATE,,,25,8,,,PZA,0.01625
1087,,,2.1,5,GUAYA PARA IZAJE,,,1,0.32,,,PZA,0.3125
1163,,,2.1,5,CARETA FACIAL,,,1,0.32,,,PZA,0.125
432,,,2.1,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,0.32,,,PZA,1
443,,,2.1,5,SEÑORITA DE CADENA 1.5 TON,,,1,0.32,,,PZA,0.22625
666,,,2.1,5,CARRUCHA DE 2 RUEDAS,,,1,0.32,,,PZA,0.325
2.2,,,,2,Desmontaje de forro metálico,,,,90,14,8,M2,
141,,,2.2,4,FABRICADOR 1RA,,,1,0.571428571428571,,,Horas,1.4425
2,,,2.2,4,AYUDANTE,,,2,1.14285714285714,,,Horas,1.04625
501,,,2.2,4,PLANIFICADOR,,,0.13,7.42857115609305E-02,,,Horas,2.3325
502,,,2.2,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.142857142857143,,,Horas,2.3325
533,,,2.2,4,CAPATAZ,,,0.5,0.285714285714286,,,Horas,2.0625
1021,,,2.2,5,PATECLA ,,,1,0.571428571428571,,,M2,0.0875
1043,,,2.2,5,GRILLETE ,,,2,1.14285714285714,,,M2,0.03125
1086,,,2.2,5,MECATE,,,25,14.2857142857143,,,M2,0.01625
1087,,,2.2,5,GUAYA PARA IZAJE,,,1,0.571428571428571,,,M2,0.3125
1163,,,2.2,5,CARETA FACIAL,,,1,0.571428571428571,,,M2,0.125
432,,,2.2,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,0.571428571428571,,,M2,1
443,,,2.2,5,SEÑORITA DE CADENA 1.5 TON,,,1,0.571428571428571,,,M2,0.22625
666,,,2.2,5,CARRUCHA DE 2 RUEDAS,,,1,0.571428571428571,,,M2,0.325
2.3,,,,2,"Desmontaje de fibra cerámica 24""x36""",,,,160,80,8,PZA,
2,,,2.3,4,AYUDANTE,,,1,0.1,,,Horas,1.04625
501,,,2.3,4,PLANIFICADOR,,,0.13,1.29999995231628E-02,,,Horas,2.3325
502,,,2.3,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.025,,,Horas,2.3325
533,,,2.3,4,CAPATAZ,,,0.5,0.05,,,Horas,2.0625
721,,,2.3,4,AISLADOR,,,1,0.1,,,Horas,1.4425
1400,,,2.3,5,HERRAMIENTAS MENORES ,,,2,0.2,,,PZA,0.2625
